host_id,host_superhost,host_response_rate,host_cancellation_rate_12m,host_avg_response_time_minutes,host_past_guest_complaints_12m,host_avg_rating
H00073,1,0.849,0.044,204.5,1,5.0
H00074,0,0.792,0.051,152.9,0,4.84
H00075,0,0.85,0.125,72.3,3,5.0
H00076,0,0.813,0.022,104.7,2,4.71
H00077,0,0.738,0.047,81.8,4,4.68
H00078,0,0.849,0.055,199.3,2,4.34
H00079,0,0.765,0.079,69.2,2,4.21
H00080,1,0.783,0.054,30.4,4,4.65
H00081,1,0.772,0.033,74.9,4,4.57
H00082,1,0.821,0.027,32.2,2,4.75
H00083,0,0.863,0.069,94.7,2,4.48
H00084,1,0.908,0.093,29.6,4,4.83
H00085,1,0.803,0.041,143.9,1,4.88
H00086,1,0.937,0.075,70.4,4,5.0
H00087,1,0.895,0.007,120.4,3,5.0
H00088,1,0.773,0.001,24.3,4,4.84
H00089,0,0.9,0.023,299.1,2,5.0
H00090,1,0.91,0.058,80.8,1,4.76
H00091,1,0.82,0.031,96.6,2,4.72
H00092,0,0.931,0.034,91.2,2,4.4
H00093,0,0.624,0.023,60.1,0,4.67
H00094,0,0.818,0.082,166.0,2,4.57
H00095,1,0.893,0.058,111.4,0,4.41
H00096,1,0.587,0.075,137.5,3,4.26
H00097,0,0.905,0.077,45.9,4,4.64
H00098,0,0.709,0.056,57.9,4,4.37
H00099,0,0.916,0.081,129.7,1,4.61
H00100,1,0.88,0.097,25.9,1,4.85
H00101,0,0.755,0.062,20.7,0,4.43
H00102,0,0.826,0.071,155.2,1,4.34
H00103,1,0.85,0.279,28.8,3,4.32
H00104,0,0.729,0.129,199.9,4,4.48
H00105,0,0.802,0.112,32.1,4,4.49
H00106,0,0.787,0.062,41.9,1,4.32
H00107,0,0.887,0.082,62.9,0,4.89
H00108,1,0.899,0.074,22.1,2,4.79
H00109,0,0.704,0.064,327.5,1,4.27
H00110,0,0.899,0.088,178.8,3,4.39
H00111,0,0.863,0.055,97.8,2,4.86
H00112,0,0.766,0.085,57.5,4,4.32
H00113,0,0.869,0.058,161.2,3,4.41
H00114,0,0.821,0.068,62.7,2,4.6
H00115,0,0.777,0.057,23.7,1,4.46
H00116,0,0.924,0.049,58.4,0,5.0
H00117,0,0.828,0.058,32.5,1,4.76
H00118,1,0.829,0.042,44.3,6,4.72
H00119,0,0.683,0.055,80.6,1,4.64
H00120,0,0.902,0.058,91.3,1,4.87
H00121,0,0.872,0.038,197.2,1,4.72
H00122,0,0.855,0.054,196.7,1,4.53
H00123,0,0.634,0.042,109.0,1,4.24
H00124,0,0.693,0.086,134.7,0,4.49
H00125,0,0.93,0.024,75.0,2,4.57
H00126,0,0.768,0.084,102.4,2,4.77
H00127,0,0.801,0.069,129.1,1,4.88
H00128,0,0.532,0.104,113.8,2,4.65
H00129,0,0.745,0.032,338.7,2,4.67
H00130,0,0.896,0.01,116.7,3,4.35
H00131,1,0.873,0.113,28.2,6,4.44
H00132,0,0.777,0.093,228.2,0,4.2
H00133,1,0.789,0.018,188.0,1,4.5
H00134,1,0.855,0.094,131.1,0,4.73
H00135,0,0.7,0.009,96.6,1,4.81
H00136,1,0.868,0.133,148.5,1,4.48
H00137,1,0.863,0.052,83.1,4,4.92
H00138,0,0.804,0.079,13.0,2,5.0
H00139,0,0.884,0.097,32.8,3,4.87
H00140,0,0.808,0.099,89.0,1,4.95
H00141,0,0.977,0.063,29.5,1,4.42
H00142,0,0.835,0.029,143.6,3,4.29
H00143,1,0.748,0.033,25.6,2,4.88
H00144,0,0.645,0.065,48.1,2,4.99
H00145,1,0.876,0.068,42.0,0,5.0
H00146,0,0.881,0.121,136.6,0,4.23
H00147,1,0.783,0.036,216.9,2,4.66
H00148,0,0.864,0.085,36.6,3,4.37
H00149,0,0.79,0.029,231.6,1,4.61
H00150,1,0.792,0.116,240.9,4,4.86
H00151,0,0.512,0.08,128.1,2,4.74
H00152,0,0.972,0.069,65.8,3,4.28
H00153,1,0.902,0.031,74.4,5,4.6
H00154,0,0.892,0.035,43.7,2,4.52
H00155,0,0.745,0.031,42.3,1,4.88
H00156,0,0.732,0.104,53.7,4,4.47
H00157,0,0.798,0.038,156.2,3,4.69
H00158,0,0.781,0.065,72.0,3,4.57
H00159,0,0.869,0.111,137.9,2,5.0
H00160,1,0.906,0.047,39.2,2,4.82
H00161,0,0.914,0.019,14.1,1,4.62
H00162,0,0.888,0.066,72.0,3,4.56
H00163,1,0.809,0.079,15.6,2,4.65
H00164,1,0.929,0.077,35.7,1,5.0
H00165,0,0.779,0.017,262.9,2,4.8
H00166,0,0.865,0.201,96.3,2,4.73
H00167,1,0.635,0.051,89.3,4,4.82
H00168,1,0.66,0.067,193.5,2,4.79
H00169,1,0.675,0.158,70.7,0,4.82
H00170,0,0.974,0.032,79.0,5,4.82
H00171,0,0.894,0.048,62.8,2,4.4
H00172,0,0.897,0.05,132.9,1,4.33
H00173,1,0.946,0.058,81.9,2,4.82
H00174,1,0.645,0.071,84.6,1,4.74
H00175,0,0.813,0.119,49.5,0,4.51
H00176,0,0.691,0.086,164.7,0,4.48
H00177,1,0.722,0.053,122.0,2,4.78
H00178,1,0.905,0.039,73.9,0,4.78
H00179,0,0.813,0.03,34.6,2,4.28
H00180,1,0.905,0.1,196.3,3,4.66
H00181,0,0.841,0.114,198.8,0,4.62
H00182,1,0.822,0.048,123.3,3,4.58
H00183,0,0.803,0.07,90.7,5,4.38
H00184,0,0.862,0.011,28.0,3,4.48
H00185,1,0.954,0.048,46.5,1,4.57
H00186,0,0.78,0.014,101.4,1,4.19
H00187,0,0.92,0.029,63.9,1,4.91
H00188,0,0.799,0.017,22.8,1,4.63
H00189,0,0.798,0.014,173.0,2,4.51
H00190,1,0.694,0.089,134.1,2,4.4
H00191,0,0.844,0.015,88.0,1,4.71
H00192,0,0.683,0.095,97.8,0,4.23
H00193,1,0.913,0.023,64.8,2,4.83
H00194,0,0.722,0.04,67.0,2,4.85
H00195,0,0.978,0.126,198.3,1,4.49
H00196,0,0.94,0.09,19.8,2,4.08
H00197,1,0.793,0.027,283.4,2,4.5
H00198,0,0.683,0.018,87.6,3,4.57
H00199,1,0.694,0.02,89.9,1,4.62
H00200,0,0.633,0.118,97.6,0,5.0
H00201,0,0.923,0.068,115.0,4,4.73
H00202,0,0.851,0.043,56.9,1,5.0
H00203,0,0.879,0.082,149.4,1,4.85
H00204,1,0.73,0.049,160.6,2,4.75
H00205,1,0.79,0.031,231.1,4,4.68
H00206,1,0.704,0.044,133.6,2,4.16
H00207,0,0.885,0.032,66.0,1,4.13
H00208,0,0.787,0.024,32.5,1,4.84
H00209,0,0.702,0.086,65.5,1,4.63
H00210,0,0.834,0.086,91.5,1,4.91
H00211,1,0.811,0.045,108.0,2,4.26
H00212,1,0.72,0.086,77.0,3,4.73
H00213,1,0.764,0.02,84.9,1,4.77
H00214,0,0.825,0.019,146.4,0,4.49
H00215,1,0.79,0.008,167.7,0,4.38
H00216,0,0.923,0.029,297.9,2,4.39
H00217,0,0.697,0.02,92.2,3,4.47
H00218,0,0.814,0.041,80.9,1,4.53
H00219,1,0.788,0.097,134.0,1,4.5
H00220,0,0.817,0.098,127.2,2,4.73
H00221,0,0.954,0.026,72.6,2,4.61
H00222,0,0.781,0.101,126.0,0,4.34
H00223,1,0.852,0.06,348.8,3,4.79
H00224,1,0.803,0.04,72.1,0,4.35
H00225,0,0.88,0.06,26.9,4,4.56
H00226,1,0.614,0.074,80.0,4,4.39
H00227,0,0.79,0.062,26.5,1,4.48
H00228,0,0.834,0.184,49.8,2,4.52
H00229,0,0.864,0.112,100.3,3,4.53
H00230,0,0.853,0.067,43.6,1,4.59
H00231,0,0.785,0.053,228.3,4,4.64
H00232,1,0.732,0.065,64.9,5,4.91
H00233,1,0.874,0.077,201.3,4,4.39
H00234,0,0.859,0.054,28.4,1,3.93
H00235,0,0.867,0.004,31.6,1,4.38
H00236,0,0.833,0.129,82.7,1,4.92
H00237,0,0.818,0.047,43.1,1,4.81
H00238,0,0.78,0.04,37.6,2,4.45
H00239,1,0.771,0.013,112.9,1,4.56
H00240,0,0.903,0.093,30.5,0,4.15
H00241,0,0.728,0.091,185.8,4,4.43
H00242,0,0.777,0.018,130.2,4,4.45
H00243,1,0.695,0.042,132.5,2,4.84
H00244,0,0.915,0.104,191.1,2,4.6
H00245,0,0.844,0.041,135.5,1,4.38
H00246,0,0.704,0.058,67.0,1,4.29
H00247,0,0.705,0.098,162.0,2,4.86
H00248,1,0.814,0.039,75.6,2,4.61
H00249,0,0.754,0.062,95.9,2,4.4
H00250,1,0.886,0.075,100.0,3,4.89
H00251,0,0.936,0.048,27.2,3,4.83
H00252,0,0.901,0.04,192.6,4,4.52
H00253,1,0.866,0.06,189.2,0,4.34
H00254,1,0.793,0.089,57.4,2,5.0
H00255,0,0.58,0.094,44.9,0,4.8
H00256,0,0.664,0.152,98.1,2,4.61
H00257,0,0.745,0.085,202.8,3,4.34
H00258,1,0.725,0.07,33.1,3,4.75
H00259,1,0.782,0.068,41.9,0,4.39
H00260,0,0.747,0.093,277.5,5,4.8
H00261,0,0.676,0.07,8.3,1,4.77
H00262,0,0.789,0.068,61.8,2,4.47
H00263,1,0.981,0.039,160.2,5,4.77
H00264,0,0.742,0.11,225.6,1,4.53
H00265,0,0.94,0.087,206.8,1,4.9
H00266,1,0.753,0.073,44.6,1,4.52
H00267,0,0.77,0.12,120.9,2,4.82
H00268,0,0.814,0.019,158.8,2,5.0
H00269,0,0.902,0.03,127.9,1,4.45
H00270,0,0.656,0.028,612.5,2,4.3
H00271,0,0.739,0.137,45.2,1,4.66
H00272,0,0.829,0.045,146.7,2,4.77
H00273,0,0.845,0.114,3.6,4,4.43
H00274,0,0.721,0.034,119.8,1,4.62
H00275,0,0.836,0.086,11.2,1,4.45
H00276,0,0.782,0.055,202.8,3,4.26
H00277,0,0.684,0.078,194.4,0,4.71
H00278,0,0.588,0.006,72.5,1,4.64
H00279,0,0.746,0.151,102.4,2,4.38
H00280,1,0.893,0.039,238.4,2,4.43
H00281,0,0.912,0.081,108.8,1,4.55
H00282,1,0.866,0.01,98.8,1,4.61
H00283,0,0.836,0.076,8.4,4,4.28
H00284,1,0.814,0.018,59.5,1,4.48
H00285,1,0.843,0.165,16.8,4,4.93
H00286,0,0.67,0.061,22.3,1,4.79
H00287,0,0.68,0.057,120.7,2,4.56
H00288,0,0.501,0.063,113.6,1,4.92
H00289,1,0.666,0.109,81.1,0,4.6
H00290,0,0.425,0.035,129.3,3,4.55
H00291,0,0.882,0.025,95.0,1,4.71
H00292,1,0.787,0.091,77.6,3,4.69
H00293,0,0.862,0.054,134.7,1,4.99
H00294,1,0.855,0.034,325.8,3,4.38
H00295,0,0.868,0.07,40.5,0,4.82
H00296,0,0.795,0.195,265.7,3,4.58
H00297,0,0.893,0.017,26.6,1,4.32
H00298,0,0.696,0.097,87.9,3,4.73
H00299,0,0.782,0.043,30.7,3,4.54
H00300,0,0.85,0.016,166.5,2,4.97
H00301,1,0.892,0.042,10.2,0,4.44
H00302,0,0.814,0.123,20.8,1,4.49
H00303,1,0.746,0.093,130.7,4,4.67
H00304,0,0.747,0.094,145.2,5,4.21
H00305,0,0.819,0.05,113.8,2,4.9
H00306,0,0.83,0.077,144.5,3,4.93
H00307,1,0.69,0.035,11.0,2,4.82
H00308,0,0.849,0.051,91.6,3,4.68
H00309,1,0.864,0.069,93.8,1,4.8
H00310,0,0.791,0.062,104.4,4,4.71
H00311,0,0.829,0.052,168.6,2,4.86
H00312,1,0.663,0.175,128.7,2,5.0
H00313,0,0.793,0.055,315.3,0,4.62
H00314,0,0.849,0.04,128.2,1,4.58
H00315,0,0.875,0.103,149.4,2,4.6
H00316,1,0.858,0.013,38.1,1,4.35
H00317,1,0.803,0.059,133.9,1,4.67
H00318,1,0.618,0.12,65.0,1,4.25
H00319,0,0.752,0.035,61.5,0,4.95
H00320,0,0.792,0.01,165.0,4,4.97
H00321,0,0.694,0.084,20.9,0,4.43
H00322,0,0.757,0.024,103.1,3,4.38
H00323,0,0.974,0.093,77.0,2,4.87
H00324,0,0.758,0.062,184.9,1,4.26
H00325,0,0.939,0.049,167.6,3,4.42
H00326,1,0.777,0.034,78.6,1,4.38
H00327,0,0.903,0.014,37.1,2,4.74
H00328,1,0.822,0.045,194.4,2,4.74
H00329,0,0.761,0.089,91.9,1,4.7
H00330,0,0.815,0.089,230.2,0,4.61
H00331,1,0.777,0.068,122.4,3,4.8
H00332,0,0.788,0.09,92.1,2,4.64
H00333,1,0.766,0.026,69.2,1,5.0
H00334,0,0.649,0.029,125.3,0,4.88
H00335,1,0.806,0.086,23.8,2,4.44
H00336,0,0.79,0.022,54.3,3,4.54
H00337,0,0.685,0.08,204.2,3,4.58
H00338,1,0.776,0.015,28.8,2,4.39
H00339,0,0.724,0.058,180.5,2,4.9
H00340,0,0.603,0.021,260.0,2,4.83
H00341,0,0.946,0.13,59.2,0,4.56
H00342,1,0.661,0.012,277.9,2,4.74
H00343,0,0.888,0.032,384.4,4,4.52
H00344,0,0.843,0.034,62.0,3,4.87
H00345,1,0.841,0.059,94.6,1,4.59
H00346,1,0.735,0.179,55.8,1,4.13
H00347,0,0.835,0.088,116.0,3,4.31
H00348,1,0.676,0.059,126.5,2,4.95
H00349,0,0.913,0.05,59.1,7,4.59
H00350,1,0.745,0.048,48.7,6,4.72
H00351,0,0.817,0.028,140.7,5,4.59
H00352,0,0.677,0.031,76.0,1,4.27
H00353,1,0.82,0.058,69.9,2,4.36
H00354,0,0.82,0.025,139.4,2,4.9
H00355,0,0.859,0.117,68.3,3,4.89
H00356,1,0.864,0.024,50.5,1,4.29
H00357,0,0.577,0.01,52.8,4,4.93
H00358,0,0.837,0.016,249.2,3,4.51
H00359,1,0.95,0.042,120.1,2,4.69
H00360,0,0.752,0.042,101.4,0,4.63
H00361,1,0.872,0.035,85.0,1,4.8
H00362,0,0.889,0.013,85.4,6,4.85
H00363,0,0.858,0.057,15.3,2,4.54
H00364,0,0.787,0.066,28.0,4,4.91
H00365,0,0.905,0.014,260.3,1,4.98
H00366,0,0.882,0.016,23.9,3,4.73
H00367,0,0.912,0.126,57.9,4,4.38
H00368,1,0.893,0.027,72.2,3,4.76
H00369,1,0.946,0.112,59.2,1,4.52
H00370,0,0.897,0.082,38.6,2,4.56
H00371,0,0.825,0.045,173.5,2,4.42
H00372,0,0.895,0.05,23.5,1,5.0
H00373,0,0.86,0.012,381.5,1,4.62
H00374,1,0.849,0.072,27.3,1,4.98
H00375,0,0.733,0.185,225.7,0,4.83
H00376,1,0.85,0.079,284.3,3,4.45
H00377,0,0.843,0.076,12.6,0,4.46
H00378,0,0.941,0.014,106.7,4,4.61
H00379,0,0.834,0.034,135.4,3,4.64
H00380,0,0.804,0.012,119.6,4,4.54
H00381,0,0.718,0.069,141.7,2,4.92
H00382,1,0.839,0.055,49.4,2,4.67
H00383,0,0.898,0.116,186.0,1,4.72
H00384,0,0.833,0.063,45.3,1,4.38
H00385,0,0.684,0.036,62.6,1,4.2
H00386,0,0.687,0.1,37.8,4,4.87
H00387,0,0.855,0.1,171.9,2,4.4
H00388,0,0.871,0.03,160.4,1,4.58
H00389,1,0.858,0.119,41.3,1,4.63
H00390,0,0.897,0.036,73.2,2,4.68
H00391,0,0.907,0.032,259.4,4,4.53
H00392,0,0.77,0.105,16.5,3,4.44
H00393,0,0.842,0.022,358.6,0,4.52
H00394,1,0.723,0.025,46.9,2,4.22
H00395,1,0.721,0.011,72.8,0,4.75
H00396,1,0.738,0.034,100.8,1,4.78
H00397,0,0.844,0.042,27.2,2,4.75
H00398,0,0.729,0.094,161.9,3,4.68
H00399,0,0.57,0.051,50.8,1,4.92
H00400,0,0.5,0.073,53.5,1,4.94
H00401,0,0.879,0.05,449.5,0,4.91
H00402,1,0.745,0.073,82.2,1,4.63
H00403,0,0.824,0.107,118.5,0,4.61
H00404,0,0.884,0.046,92.5,1,4.67
H00405,1,0.79,0.069,196.1,1,4.48
H00406,1,0.789,0.08,244.6,4,4.69
H00407,0,0.813,0.077,117.2,2,4.66
H00408,0,0.743,0.032,355.5,1,4.87
H00409,1,0.849,0.11,221.3,2,4.99
H00410,0,0.62,0.019,51.8,3,4.72
H00411,1,0.806,0.049,515.0,2,4.82
H00412,0,0.7,0.13,40.5,2,4.65
H00413,0,0.844,0.025,196.7,0,4.84
H00414,0,0.798,0.031,108.5,3,4.86
H00415,0,0.766,0.071,69.1,2,5.0
H00416,1,0.857,0.097,279.6,3,4.17
H00417,1,0.886,0.07,108.3,1,4.79
H00418,1,0.723,0.006,134.1,2,4.58
H00419,0,0.922,0.031,16.4,2,4.77
H00420,1,0.679,0.042,197.4,2,4.77
H00421,1,0.74,0.067,135.3,1,4.45
H00422,1,0.901,0.005,76.1,5,4.23
H00423,0,0.746,0.033,136.6,1,4.73
H00424,0,0.825,0.225,154.2,3,4.55
H00425,0,0.603,0.122,111.8,2,4.82
H00426,0,0.911,0.033,61.9,2,4.61
H00427,0,0.86,0.08,172.8,3,4.83
H00428,1,0.794,0.035,126.5,5,4.73
H00429,1,0.754,0.135,25.7,3,4.3
H00430,0,0.817,0.056,315.1,4,4.65
H00431,0,0.816,0.024,217.6,1,4.65
H00432,0,0.846,0.045,226.0,4,4.57
H00433,1,0.808,0.075,114.3,2,4.79
H00434,1,0.921,0.071,151.7,1,4.43
H00435,0,0.749,0.055,88.9,2,5.0
H00436,1,0.523,0.076,125.0,3,4.31
H00437,0,0.864,0.039,72.3,1,4.3
H00438,0,0.91,0.171,84.5,1,4.8
H00439,0,0.896,0.077,108.3,4,5.0
H00440,0,0.905,0.049,61.2,2,4.49
H00441,1,0.821,0.015,398.7,5,4.76
H00442,1,0.95,0.12,125.3,6,4.92
H00443,0,0.915,0.217,171.3,2,4.59
H00444,1,0.77,0.02,63.2,2,4.52
H00445,0,0.975,0.035,189.6,0,4.97
H00446,0,0.837,0.057,101.2,2,4.73
H00447,0,0.92,0.046,48.0,3,4.79
H00448,1,0.654,0.072,144.2,0,4.33
H00449,1,0.677,0.079,269.4,1,4.76
H00450,0,0.791,0.165,83.2,5,4.89
H00451,0,0.642,0.01,108.8,1,4.77
H00452,1,0.793,0.14,99.4,2,4.78
H00453,0,0.713,0.031,108.2,2,5.0
H00454,1,0.687,0.088,121.0,2,4.79
H00455,0,0.801,0.05,295.5,1,4.95
H00456,0,0.872,0.05,123.6,2,4.85
H00457,0,0.889,0.03,33.5,2,4.51
H00458,0,0.917,0.018,107.2,0,4.71
H00459,0,0.822,0.073,148.2,0,4.79
H00460,0,0.85,0.07,72.8,2,4.08
H00461,1,0.748,0.061,277.5,1,4.7
H00462,0,0.957,0.07,63.0,6,4.95
H00463,0,0.906,0.088,53.9,2,4.42
H00464,1,0.765,0.124,158.5,6,4.38
H00465,1,0.769,0.056,58.6,2,4.74
H00466,0,0.971,0.024,164.3,3,4.36
H00467,1,0.742,0.062,88.1,2,4.93
H00468,0,0.641,0.092,79.1,0,4.52
H00469,0,0.802,0.018,42.5,1,4.82
H00470,0,0.866,0.036,101.3,4,4.42
H00471,0,0.787,0.036,58.6,1,5.0
H00472,0,0.606,0.044,48.9,2,5.0
H00473,1,0.734,0.005,253.0,1,4.93
H00474,1,0.632,0.035,146.4,1,4.48
H00475,1,0.865,0.021,69.2,2,4.63
H00476,0,0.846,0.053,29.1,1,4.16
H00477,1,0.687,0.105,11.5,1,4.98
H00478,0,0.867,0.086,72.4,0,4.68
H00479,0,0.88,0.082,226.3,2,4.63
H00480,1,0.853,0.016,87.4,2,4.42
H00481,0,0.92,0.106,60.6,1,4.9
H00482,0,0.934,0.06,30.7,1,4.78
H00483,1,0.799,0.057,76.9,2,4.66
H00484,1,0.779,0.037,56.3,2,4.76
H00485,0,0.769,0.054,28.2,3,5.0
H00486,1,0.906,0.139,67.7,2,4.42
H00487,0,0.748,0.107,159.2,0,4.34
H00488,1,0.941,0.016,15.5,2,4.45
H00489,0,0.73,0.054,95.0,3,4.95
H00490,1,0.731,0.065,7.3,1,4.72
H00491,1,0.906,0.002,45.7,3,4.46
H00492,0,0.857,0.011,25.5,1,4.78
H00493,1,0.772,0.006,197.0,2,4.53
H00494,1,0.569,0.022,263.4,5,4.69
H00495,0,0.838,0.033,111.4,1,4.77
H00496,1,0.736,0.028,54.5,2,4.5
H00497,1,0.567,0.037,87.6,0,4.2
H00498,0,0.82,0.033,11.4,3,4.71
H00499,0,0.729,0.041,200.7,3,4.6
H00500,0,0.868,0.062,202.4,0,4.5
H00501,0,0.888,0.034,162.4,4,4.71
H00502,0,0.848,0.033,107.6,1,4.81
H00503,0,0.828,0.15,271.5,1,4.11
H00504,1,0.775,0.043,63.0,1,4.68
H00505,1,0.811,0.064,13.5,1,4.62
H00506,1,0.762,0.118,82.7,3,4.56
H00507,1,0.806,0.131,33.6,1,4.81
H00508,0,0.781,0.04,237.0,1,4.18
H00509,1,0.668,0.05,55.4,1,3.91
H00510,0,0.694,0.068,133.6,1,4.25
H00511,0,0.724,0.013,304.3,1,4.83
H00512,0,0.348,0.056,170.1,1,4.53
H00513,0,0.566,0.052,51.5,2,4.59
H00514,0,0.864,0.047,158.0,3,5.0
H00515,0,0.583,0.056,103.1,2,4.76
H00516,1,0.551,0.054,38.6,1,4.9
H00517,0,0.72,0.032,28.6,1,4.63
H00518,0,0.797,0.084,182.9,4,4.11
H00519,1,0.78,0.071,210.1,3,4.59
H00520,0,0.891,0.026,90.6,3,4.44
H00521,1,0.919,0.121,39.8,4,4.45
H00522,0,0.811,0.114,69.7,1,4.75
H00523,0,0.873,0.059,42.3,1,4.1
H00524,0,0.817,0.025,129.1,2,4.48
H00525,0,0.92,0.169,187.5,1,4.54
H00526,0,0.93,0.104,191.8,1,4.81
H00527,0,0.783,0.05,187.3,6,5.0
H00528,1,0.651,0.023,93.8,3,4.12
H00529,0,0.708,0.01,78.1,2,4.67
H00530,0,0.827,0.031,102.7,2,4.56
H00531,1,0.849,0.118,87.2,1,4.71
H00532,0,0.853,0.018,147.9,2,5.0
H00533,0,0.824,0.108,186.2,2,4.3
H00534,0,0.667,0.029,114.8,0,4.5
H00535,0,0.758,0.067,127.9,2,4.97
H00536,1,0.596,0.055,100.9,3,4.76
H00537,1,0.866,0.042,58.0,1,4.85
H00538,0,0.914,0.114,147.8,4,4.54
H00539,1,0.676,0.036,5.0,3,4.89
H00540,0,0.741,0.08,55.4,1,4.87
H00541,0,0.779,0.081,84.3,2,4.74
H00542,1,0.803,0.055,231.4,4,5.0
H00543,0,0.963,0.073,341.3,3,4.72
H00544,1,0.823,0.029,99.4,3,4.76
H00545,0,0.803,0.018,219.6,4,4.54
H00546,0,0.893,0.037,229.2,0,4.76
H00547,1,0.779,0.092,8.4,2,4.72
H00548,1,0.724,0.007,107.9,5,4.82
H00549,1,0.829,0.01,86.0,4,4.74
H00550,1,0.714,0.147,20.4,2,4.75
H00551,0,0.695,0.022,72.7,1,4.55
H00552,1,0.756,0.162,223.0,0,4.82
H00553,1,0.605,0.015,162.7,1,4.7
H00554,0,0.898,0.033,28.7,1,4.57
H00555,1,0.725,0.021,11.0,4,4.45
H00556,1,0.902,0.049,49.4,1,4.86
H00557,0,0.951,0.074,114.1,1,4.86
H00558,0,0.832,0.018,104.6,3,4.62
H00559,1,0.779,0.035,14.0,1,4.33
H00560,0,0.855,0.037,142.6,0,5.0
H00561,0,0.823,0.06,55.2,2,4.98
H00562,1,0.903,0.063,70.6,0,5.0
H00563,0,0.857,0.056,169.1,1,4.18
H00564,0,0.662,0.158,35.4,2,4.58
H00565,0,0.893,0.037,290.1,1,4.47
H00566,0,0.893,0.068,226.5,1,4.2
H00567,1,0.782,0.04,149.4,4,4.66
H00568,0,0.805,0.044,71.6,4,4.71
H00569,0,0.862,0.088,278.1,2,4.63
H00570,0,0.852,0.051,71.7,2,4.25
H00571,1,0.613,0.06,162.8,1,4.8
H00572,1,0.744,0.094,8.6,1,4.35
H00573,1,0.898,0.025,82.6,3,4.91
H00574,0,0.846,0.024,19.8,1,4.9
H00575,1,0.914,0.077,15.9,2,4.75
H00576,0,0.846,0.05,32.8,1,4.55
