booking_id,guest_id,host_id,listing_id,nights,days_until_checkin_at_ticket,total_booking_value,booking_status,cancelled_by
B000084,G00794,H01203,L01621,9,34,1592.31,completed,none
B000085,G02331,H00005,L01135,9,15,1810.38,completed,none
B000086,G01792,H01075,L00376,9,41,2448.87,active,none
B000087,G02542,H01385,L01324,3,11,699.89,completed,none
B000088,G02217,H00536,L02616,4,9,721.46,completed,none
B000089,G03077,H00359,L00284,8,1,699.64,completed,none
B000090,G01954,H01392,L02182,7,34,1899.12,completed,none
B000091,G03854,H00359,L00284,1,4,104.12,completed,none
B000092,G02057,H00606,L00878,4,30,1089.18,completed,none
B000093,G02861,H01260,L01338,3,35,517.69,completed,none
B000094,G03068,H00375,L01650,5,31,1840.1,active,none
B000095,G02168,H00375,L02824,3,42,164.53,completed,none
B000096,G02775,H00733,L01841,4,7,2599.71,completed,none
B000097,G03392,H01256,L02068,6,11,1363.48,cancelled,guest
B000098,G03290,H01052,L00788,7,11,1380.58,completed,none
B000099,G01911,H00900,L00378,9,9,1222.86,completed,none
B000100,G01427,H00785,L01325,7,6,1428.36,completed,none
B000101,G01126,H00153,L00144,2,4,311.68,completed,none
B000102,G02205,H01086,L00914,1,13,628.84,completed,none
B000103,G01833,H00232,L00344,9,2,897.78,completed,none
B000104,G03065,H01321,L02037,2,36,244.45,completed,none
B000105,G03337,H01168,L02400,7,25,947.9,completed,none
B000106,G03052,H00351,L01564,4,37,1083.47,completed,none
B000107,G02326,H00509,L02520,4,37,516.51,cancelled,guest
B000108,G01367,H00336,L00692,4,4,411.34,cancelled,host
B000109,G03859,H00139,L00943,4,32,616.23,completed,none
B000110,G02465,H01147,L00861,9,29,1890.07,completed,none
B000111,G01745,H01067,L00765,9,11,2788.98,completed,none
B000112,G00037,H01400,L00248,5,14,3406.65,active,none
B000113,G02176,H01101,L02184,6,18,1103.84,completed,none
B000114,G00914,H00353,L00560,6,29,1785.97,completed,none
B000115,G02275,H00777,L00096,2,-2,641.95,completed,none
B000116,G02427,H00828,L00228,9,43,1557.74,active,none
B000117,G03684,H00470,L02737,5,38,1501.95,completed,none
B000118,G00447,H01115,L00516,2,43,473.16,completed,none
B000119,G00297,H00296,L00164,4,-1,397.69,completed,none
B000120,G00044,H00605,L02781,8,32,1740.5,completed,none
B000121,G00300,H00214,L00334,8,26,1090.46,completed,none
B000122,G03728,H00361,L00270,2,24,288.83,completed,none
B000123,G02752,H00026,L01813,3,35,1265.97,completed,none
B000124,G03003,H01475,L01600,1,25,142.1,completed,none
B000125,G01509,H01457,L00307,5,23,2334.02,completed,none
B000126,G01648,H00132,L01584,5,4,488.04,completed,none
B000127,G01204,H01266,L00033,4,17,401.9,completed,none
B000128,G02080,H00744,L02980,9,34,1699.86,completed,none
B000129,G02016,H01123,L01737,3,40,485.19,completed,none
B000130,G03869,H00319,L02755,8,31,1004.11,active,none
B000131,G03558,H00907,L02832,4,42,845.34,completed,none
B000132,G03981,H00980,L02099,7,29,1678.51,active,none
B000133,G02599,H00573,L02543,3,14,708.63,completed,none
B000134,G03410,H01151,L02242,6,13,815.14,completed,none
B000135,G01333,H00909,L00634,1,44,181.46,cancelled,guest
B000136,G03782,H00215,L00619,7,-1,628.72,active,none
B000137,G02964,H01082,L02875,3,16,519.53,active,none
B000138,G03281,H00398,L00568,4,28,1130.92,completed,none
B000139,G02993,H00337,L00896,4,37,995.27,completed,none
B000140,G01588,H00652,L02259,6,38,1233.75,completed,none
B000141,G03659,H00563,L01231,9,21,2437.43,active,none
B000142,G03147,H00802,L00564,5,24,1654.41,completed,none
B000143,G00135,H01156,L01747,9,22,1120.66,completed,none
B000144,G00937,H00904,L02244,6,1,1444.53,completed,none
B000145,G00911,H00414,L02989,1,29,236.13,completed,none
B000146,G03631,H01019,L00309,6,7,1018.34,cancelled,guest
B000147,G00026,H00966,L01770,7,19,1157.64,completed,none
B000148,G00311,H00146,L01034,4,15,1702.92,active,none
B000149,G03558,H00387,L00791,1,39,269.81,active,none
B000150,G03371,H01270,L00329,2,26,535.8,completed,none
B000151,G03858,H00851,L01124,7,17,1423.51,completed,none
B000152,G02669,H00070,L02767,7,8,1210.59,completed,none
B000153,G02638,H00900,L00378,7,30,975.27,completed,none
B000154,G02080,H00628,L02290,2,40,176.36,completed,none
B000155,G01183,H00250,L00520,4,14,635.6,completed,none
B000156,G02074,H01052,L02270,6,34,555.73,completed,none
B000157,G02382,H00251,L02903,9,40,1432.1,completed,none
B000158,G03864,H00851,L01124,5,38,1113.64,completed,none
B000159,G00698,H00529,L01033,9,22,4724.02,completed,none
B000160,G00161,H00372,L00534,4,2,1312.0,completed,none
B000161,G02655,H00504,L02626,8,39,2701.82,completed,none
B000162,G02759,H00859,L02925,4,9,1276.81,completed,none
B000163,G03145,H00425,L01921,5,15,502.69,completed,none
B000164,G02557,H01043,L02585,7,14,1820.99,completed,none
B000165,G01358,H00714,L02161,6,25,2184.48,completed,none
B000166,G02799,H00374,L00230,4,16,1868.5,completed,none
B000167,G03260,H01230,L00820,7,30,1461.71,completed,none
B000168,G01241,H00419,L02302,7,14,889.42,cancelled,guest
B000169,G03288,H00163,L01319,3,11,598.68,completed,none
B000170,G01502,H00680,L01638,2,32,281.62,cancelled,host
B000171,G03532,H00776,L00555,8,6,2650.51,completed,none
B000172,G01222,H01034,L01606,8,21,2792.89,completed,none
B000173,G02547,H00080,L00654,3,7,639.25,completed,none
B000174,G02491,H00120,L01624,7,39,1579.45,completed,none
B000175,G02361,H00548,L02886,9,30,1933.73,completed,none
B000176,G02401,H00072,L00706,9,24,1563.91,completed,none
B000177,G02033,H00587,L00529,4,32,2628.29,completed,none
B000178,G01937,H01255,L01785,6,4,1081.13,completed,none
B000179,G01921,H00019,L02726,5,15,1074.6,active,none
B000180,G03173,H01159,L01077,9,22,1666.95,active,none
B000181,G01163,H00482,L02104,5,4,1040.19,completed,none
B000182,G01024,H00618,L00204,9,21,2553.57,active,none
B000183,G02534,H01478,L01789,7,16,1515.82,completed,none
B000184,G02371,H00039,L01942,5,33,896.69,completed,none
B000185,G02011,H01442,L00645,2,7,140.05,completed,none
B000186,G01734,H01059,L02328,9,5,1061.75,cancelled,guest
B000187,G00919,H00750,L01243,7,31,1988.82,completed,none
B000188,G00758,H00033,L02514,3,3,501.49,completed,none
B000189,G02926,H00371,L00755,8,25,1809.92,completed,none
B000190,G03132,H01148,L01261,9,29,1173.96,active,none
B000191,G03193,H00883,L02036,3,19,655.95,completed,none
B000192,G01191,H01319,L02830,9,44,1864.73,completed,none
B000193,G03869,H00522,L02623,1,29,285.49,completed,none
B000194,G02483,H00367,L02964,5,15,713.45,completed,none
B000195,G00661,H00820,L02163,8,5,2884.67,completed,none
B000196,G03131,H00088,L01038,7,17,1763.49,completed,none
B000197,G00533,H00600,L01460,4,11,1152.85,completed,none
B000198,G02683,H00354,L01891,1,18,143.08,completed,none
B000199,G03051,H01209,L01722,1,5,96.03,completed,none
B000200,G03163,H00763,L01895,7,10,764.77,completed,none
B000201,G01555,H00376,L01500,6,23,445.91,completed,none
B000202,G01844,H00351,L01564,5,6,1403.63,completed,none
B000203,G03698,H00714,L02161,7,33,2599.13,completed,none
B000204,G01096,H00249,L02485,6,19,2119.97,cancelled,guest
B000205,G00923,H01173,L01981,3,15,723.42,completed,none
B000206,G02180,H01192,L01502,2,28,320.06,active,none
B000207,G01109,H01442,L00073,1,27,130.54,completed,none
B000208,G01655,H00412,L02100,9,40,3332.79,completed,none
B000209,G01835,H00118,L01208,9,8,2024.27,cancelled,host
B000210,G02605,H00405,L00184,2,12,579.2,completed,none
B000211,G00150,H00355,L00817,7,18,1229.05,completed,none
B000212,G03593,H00187,L00835,8,28,661.15,active,none
B000213,G00506,H00316,L02787,2,14,306.24,active,none
B000214,G00134,H00905,L01796,2,1,153.46,completed,none
B000215,G01639,H00849,L02552,3,-2,1172.55,active,none
B000216,G00929,H00923,L02276,7,10,1412.81,completed,none
B000217,G00989,H00218,L02015,8,12,1947.93,cancelled,guest
B000218,G01453,H00763,L01895,7,38,672.95,completed,none
B000219,G00306,H01297,L00322,3,33,639.24,completed,none
B000220,G00274,H00564,L01972,8,42,856.98,completed,none
B000221,G02702,H00395,L00998,1,35,428.86,completed,none
B000222,G02809,H00750,L02180,6,0,2017.94,completed,none
B000223,G01763,H01201,L00589,9,10,915.92,completed,none
B000224,G03946,H00315,L01866,7,24,1027.0,active,none
B000225,G01638,H00917,L00693,2,2,309.69,completed,none
B000226,G02402,H00894,L00627,1,16,140.87,completed,none
B000227,G01601,H01271,L01273,8,36,4796.8,completed,none
B000228,G01775,H00228,L00130,3,18,475.44,completed,none
B000229,G00615,H01387,L00485,5,39,573.08,completed,none
B000230,G01014,H00090,L00866,5,33,1186.42,cancelled,host
B000231,G03628,H01207,L01296,9,25,2175.78,completed,none
B000232,G01432,H00817,L00674,8,14,1056.9,completed,none
B000233,G00418,H00284,L01483,2,20,357.4,completed,none
B000234,G00391,H01140,L01560,2,12,109.79,active,none
B000235,G02815,H00670,L01563,5,15,957.75,completed,none
B000236,G02787,H00507,L00819,5,22,995.71,completed,none
B000237,G00018,H00948,L01748,7,36,774.14,completed,none
B000238,G02372,H00319,L02755,8,21,998.84,completed,none
B000239,G03934,H01416,L00779,4,-1,600.81,completed,none
B000240,G03493,H00798,L00666,3,23,723.33,completed,none
B000241,G00244,H00703,L00783,4,14,474.33,completed,none
B000242,G03078,H00944,L01100,3,32,508.1,completed,none
B000243,G02395,H00835,L02977,9,42,2621.73,active,none
B000244,G03368,H00145,L02283,1,0,194.13,cancelled,host
B000245,G01931,H01155,L02380,5,5,756.18,completed,none
B000246,G01586,H01138,L02652,2,19,267.26,completed,none
B000247,G03500,H00935,L02569,5,0,601.21,completed,none
B000248,G02464,H00921,L02193,7,3,3575.8,completed,none
B000249,G01665,H01207,L01535,3,-2,554.43,completed,none
B000250,G03790,H01482,L02999,3,0,450.08,completed,none
B000251,G02252,H00097,L02567,4,11,972.27,completed,none
B000252,G03332,H01133,L02996,4,14,325.42,completed,none
B000253,G03705,H01220,L01327,7,30,2515.54,completed,none
B000254,G03814,H00677,L02145,2,44,172.13,completed,none
B000255,G00689,H00521,L00249,8,26,1469.73,completed,none
B000256,G02603,H00792,L01479,7,44,1070.06,active,none
B000257,G03850,H01374,L00845,6,35,2736.88,completed,none
B000258,G02601,H00947,L02339,5,7,1007.55,active,none
B000259,G02755,H00030,L00116,7,36,2440.77,completed,none
B000260,G02336,H00536,L02616,9,36,1818.29,completed,none
B000261,G01533,H00018,L00341,2,39,357.6,completed,none
B000262,G02174,H01374,L02094,6,33,1441.83,completed,none
B000263,G03536,H00984,L02115,2,18,491.78,completed,none
B000264,G02368,H00644,L01433,3,30,913.75,cancelled,host
B000265,G02462,H01069,L01549,9,29,1511.62,completed,none
B000266,G02060,H00098,L02183,6,10,615.75,completed,none
B000267,G02267,H00653,L02990,6,22,1134.34,completed,none
B000268,G02023,H01390,L01056,6,-1,1032.47,cancelled,host
B000269,G01442,H01203,L01621,2,33,362.05,completed,none
B000270,G00374,H00258,L02535,6,10,1076.44,completed,none
B000271,G00433,H01295,L00773,5,-1,828.21,active,none
B000272,G00356,H01492,L01214,7,-1,1273.08,completed,none
B000273,G00630,H00375,L01213,3,26,1206.21,active,none
B000274,G02651,H01286,L01735,5,6,1604.01,completed,none
B000275,G01992,H01413,L01505,1,27,69.21,completed,none
B000276,G01981,H01493,L01573,3,31,457.24,completed,none
B000277,G03081,H01234,L01279,2,33,543.37,completed,none
B000278,G01928,H00914,L01304,5,36,1218.22,completed,none
B000279,G03080,H00881,L01674,9,23,2083.98,completed,none
B000280,G00495,H00980,L00922,8,30,1820.6,completed,none
B000281,G02851,H00192,L01412,9,29,1098.05,completed,none
B000282,G00035,H00468,L00702,2,25,394.19,active,none
B000283,G01191,H00498,L01928,4,17,671.61,active,none
B000284,G01020,H01476,L02531,8,9,1484.24,completed,none
B000285,G01317,H00215,L01174,2,13,292.43,cancelled,host
B000286,G00754,H00310,L02275,3,43,636.22,cancelled,guest
B000287,G01300,H00126,L00123,9,-1,833.29,completed,none
B000288,G03166,H00296,L02810,3,25,480.33,cancelled,host
B000289,G02897,H01304,L02087,3,13,770.75,completed,none
B000290,G00737,H01004,L01236,2,26,448.03,cancelled,host
B000291,G01548,H00211,L01672,3,8,1093.05,cancelled,host
B000292,G02009,H00284,L01978,4,24,707.54,completed,none
B000293,G01918,H00899,L00129,9,42,2393.22,completed,none
B000294,G01471,H00298,L00064,3,-1,690.67,cancelled,host
B000295,G01702,H00024,L02783,3,42,803.79,cancelled,guest
B000296,G02995,H01197,L02719,9,36,1066.81,completed,none
B000297,G02108,H00826,L00276,2,11,318.44,completed,none
B000298,G03044,H00408,L00021,7,43,2868.97,completed,none
B000299,G00953,H01476,L02681,5,7,622.67,completed,none
B000300,G01304,H01279,L00321,9,22,3988.66,active,none
B000301,G00301,H01067,L00765,9,16,2655.63,completed,none
B000302,G02082,H00117,L02617,3,17,390.34,completed,none
B000303,G02747,H01366,L01834,9,28,2974.76,active,none
B000304,G00135,H00284,L02368,5,29,821.23,completed,none
B000305,G02274,H01478,L01789,2,19,429.48,completed,none
B000306,G00994,H01100,L02348,1,11,154.05,cancelled,guest
B000307,G02620,H01278,L02730,5,14,945.33,completed,none
B000308,G00620,H00917,L00043,7,38,1233.6,completed,none
B000309,G01038,H01408,L02057,8,39,3317.85,completed,none
B000310,G01756,H00098,L00362,2,41,244.07,completed,none
B000311,G02131,H00684,L00100,4,31,347.91,completed,none
B000312,G01375,H00573,L00263,5,7,1044.29,completed,none
B000313,G02394,H00504,L02947,9,19,2563.71,completed,none
B000314,G01642,H00856,L01142,2,14,926.43,cancelled,guest
B000315,G02853,H00611,L00695,1,32,343.61,completed,none
B000316,G03252,H01106,L00537,4,25,754.47,completed,none
B000317,G02216,H01076,L00924,7,31,2470.65,cancelled,guest
B000318,G02572,H01229,L02106,8,19,1233.92,completed,none
B000319,G02220,H01465,L00967,3,5,553.67,active,none
B000320,G01913,H01475,L00638,7,43,1872.37,completed,none
B000321,G03652,H01293,L00126,2,7,311.54,cancelled,guest
B000322,G01718,H00293,L00274,8,15,942.12,completed,none
B000323,G01438,H01226,L02055,6,37,1809.03,completed,none
B000324,G02955,H00700,L01547,6,32,896.38,completed,none
B000325,G00423,H00842,L01105,8,19,1535.96,completed,none
B000326,G02962,H00420,L01420,9,33,2578.03,completed,none
B000327,G00623,H01276,L00242,8,31,1439.78,completed,none
B000328,G02580,H00947,L01217,7,41,1396.41,completed,none
B000329,G00102,H01052,L01901,9,34,3070.34,completed,none
B000330,G01704,H00470,L00982,3,23,612.16,completed,none
B000331,G02114,H00497,L02271,1,19,227.82,completed,none
B000332,G03642,H01151,L01864,4,36,1604.26,completed,none
B000333,G03816,H00100,L01133,5,23,1028.96,completed,none
B000334,G02633,H00309,L02928,5,18,2084.33,completed,none
B000335,G03421,H01095,L00633,7,21,990.43,completed,none
B000336,G02566,H01442,L00073,1,37,146.0,completed,none
B000337,G03232,H00201,L02209,1,37,212.41,completed,none
B000338,G03451,H00100,L01133,4,42,881.31,completed,none
B000339,G02896,H00215,L02123,6,37,709.06,completed,none
B000340,G03589,H00114,L00875,2,27,887.46,completed,none
B000341,G01281,H01062,L00768,6,13,2699.78,completed,none
B000342,G00244,H00335,L00912,5,39,1520.43,cancelled,guest
B000343,G00646,H01438,L00366,2,27,318.07,completed,none
B000344,G02148,H00851,L02912,2,38,454.46,completed,none
B000345,G02986,H00384,L01486,8,35,1352.36,cancelled,guest
B000346,G00524,H01099,L01175,9,4,2049.88,cancelled,host
B000347,G02831,H00815,L02064,3,32,315.21,completed,none
B000348,G00876,H00989,L00165,3,36,360.22,completed,none
B000349,G03472,H00241,L01930,3,22,366.57,cancelled,guest
B000350,G00007,H00774,L02969,5,3,1503.52,completed,none
B000351,G02530,H00331,L01804,9,37,1463.05,completed,none
B000352,G03642,H01393,L00843,8,11,1160.19,completed,none
B000353,G00752,H00039,L00952,7,8,1966.48,cancelled,guest
B000354,G02907,H01177,L00846,7,28,1309.15,completed,none
B000355,G01035,H00778,L01938,7,27,1724.36,active,none
B000356,G00342,H01462,L00018,9,27,2505.12,active,none
B000357,G03987,H00296,L00164,5,19,480.01,completed,none
B000358,G00109,H00023,L00326,5,7,1948.5,completed,none
B000359,G02880,H00420,L01420,8,35,2407.06,completed,none
B000360,G02564,H00512,L02308,5,-1,601.94,cancelled,guest
B000361,G02377,H00988,L01104,2,31,381.69,completed,none
B000362,G02230,H00675,L00586,1,31,171.39,cancelled,guest
B000363,G00755,H01152,L00191,4,14,920.77,active,none
B000364,G00732,H00657,L00774,8,29,1351.96,completed,none
B000365,G02291,H00926,L01429,8,-2,2076.3,completed,none
B000366,G00175,H00763,L00900,7,41,729.02,completed,none
B000367,G03694,H01257,L01613,6,42,694.21,cancelled,host
B000368,G03217,H01209,L00156,3,29,623.19,active,none
B000369,G01574,H00815,L00988,8,35,765.23,completed,none
B000370,G00327,H00149,L00168,3,41,302.84,completed,none
B000371,G02694,H01300,L01321,1,1,248.16,completed,none
B000372,G02302,H00817,L02139,8,37,1042.98,completed,none
B000373,G01940,H01424,L02389,2,15,437.75,active,none
B000374,G02683,H00699,L02147,6,10,1192.16,completed,none
B000375,G00000,H00796,L02327,9,0,1611.66,completed,none
B000376,G01549,H00628,L01224,6,34,750.19,active,none
B000377,G03763,H01182,L01171,4,43,434.54,active,none
B000378,G00800,H00888,L02226,8,26,1685.23,completed,none
B000379,G03568,H00843,L01995,1,5,215.91,active,none
B000380,G03854,H01013,L00019,4,29,795.08,completed,none
B000381,G02865,H00215,L00619,6,44,471.28,completed,none
B000382,G01548,H00689,L00591,4,27,1068.08,completed,none
B000383,G01617,H00966,L01090,3,42,439.66,completed,none
B000384,G00800,H00015,L01298,6,19,637.46,cancelled,guest
B000385,G01857,H00549,L01370,8,38,1846.56,completed,none
B000386,G00896,H00621,L02743,6,1,852.87,completed,none
B000387,G01579,H01259,L02896,1,22,150.81,completed,none
B000388,G03581,H00469,L02966,3,13,590.89,completed,none
B000389,G02149,H00878,L00778,8,21,1991.44,completed,none
B000390,G02401,H00175,L00488,1,43,377.89,completed,none
B000391,G02776,H00405,L00596,8,26,2906.72,completed,none
B000392,G01365,H00840,L02939,7,43,1027.79,completed,none
B000393,G01728,H00956,L02620,6,10,1911.47,completed,none
B000394,G02251,H01085,L02234,1,37,96.01,completed,none
B000395,G01854,H01111,L02861,9,24,2065.9,completed,none
B000396,G02703,H01137,L00623,9,37,1661.13,completed,none
B000397,G02706,H00334,L02334,4,32,753.06,cancelled,guest
B000398,G01569,H00381,L01725,1,26,199.58,cancelled,guest
B000399,G01228,H00882,L02683,5,-1,346.55,completed,none
B000400,G03750,H00359,L02176,5,32,913.51,completed,none
B000401,G02491,H01474,L02023,5,40,1081.83,completed,none
B000402,G03598,H01296,L01253,4,7,1768.36,completed,none
B000403,G01843,H00762,L00417,1,44,139.82,completed,none
B000404,G02994,H01405,L02868,1,13,275.22,active,none
B000405,G00301,H00906,L00980,3,2,892.24,completed,none
B000406,G03163,H01177,L00846,7,29,1440.78,completed,none
B000407,G03697,H00798,L01049,7,8,1466.52,completed,none
B000408,G03908,H00742,L00580,6,35,1872.42,completed,none
B000409,G02083,H01385,L01324,4,33,862.52,completed,none
B000410,G00862,H01173,L01842,5,29,654.49,completed,none
B000411,G01205,H00628,L02290,8,31,693.67,completed,none
B000412,G02061,H01246,L01316,1,17,135.0,completed,none
B000413,G03672,H01175,L00047,4,27,604.42,completed,none
B000414,G00232,H00097,L01926,6,19,992.79,completed,none
B000415,G03075,H00284,L02313,8,24,1016.65,completed,none
B000416,G03621,H01416,L00779,7,43,1091.12,completed,none
B000417,G03266,H00908,L02498,1,36,290.02,completed,none
B000418,G00618,H01441,L01417,6,12,1601.95,completed,none
B000419,G01440,H01491,L01140,1,36,91.75,completed,none
B000420,G03623,H01285,L00916,6,14,829.09,completed,none
B000421,G00185,H00359,L02176,5,42,1173.63,cancelled,guest
B000422,G00006,H00482,L02419,1,13,183.79,cancelled,host
B000423,G03924,H01294,L00598,1,-2,195.99,completed,none
B000424,G01206,H01337,L00857,4,-1,614.1,completed,none
B000425,G02939,H00172,L00595,6,15,1231.62,completed,none
B000426,G02871,H00724,L00077,6,11,1093.86,completed,none
B000427,G02154,H01259,L01295,9,32,1330.95,cancelled,host
B000428,G02184,H00418,L00400,4,23,1261.98,completed,none
B000429,G01222,H00367,L02964,8,39,1386.64,completed,none
B000430,G00689,H00486,L02072,6,15,851.64,completed,none
B000431,G00390,H00379,L00285,9,29,2600.83,completed,none
B000432,G02730,H00745,L00016,7,43,1420.14,cancelled,guest
B000433,G01791,H00018,L00341,4,2,667.23,completed,none
B000434,G03497,H00755,L01879,7,17,856.8,completed,none
B000435,G03396,H00551,L01835,8,42,1321.63,completed,none
B000436,G02301,H00383,L01988,3,44,349.39,completed,none
B000437,G02241,H00452,L00823,2,15,384.87,completed,none
B000438,G02421,H00692,L01495,8,19,562.53,active,none
B000439,G00673,H01066,L02255,4,2,1162.54,completed,none
B000440,G03366,H01369,L00637,1,2,140.8,completed,none
B000441,G00646,H00545,L01449,2,7,164.12,completed,none
B000442,G03679,H00460,L02300,7,30,2099.14,completed,none
B000443,G02758,H00069,L00063,5,38,776.46,completed,none
B000444,G01701,H00809,L01425,7,5,1541.92,active,none
B000445,G01671,H01349,L02838,3,37,293.63,completed,none
B000446,G01285,H01215,L01353,4,26,642.28,active,none
B000447,G01127,H00840,L02939,3,8,474.31,completed,none
B000448,G01964,H00714,L00991,8,7,1311.46,completed,none
B000449,G03944,H00676,L00496,1,10,126.94,completed,none
B000450,G01697,H00849,L02552,5,7,1721.56,cancelled,guest
B000451,G01392,H00415,L02814,4,28,583.3,active,none
B000452,G02877,H00694,L00789,8,40,1522.56,completed,none
B000453,G00849,H01295,L01911,9,19,1048.74,active,none
B000454,G01067,H00930,L01575,1,21,65.24,completed,none
B000455,G03954,H01203,L02772,3,28,576.25,completed,none
B000456,G01208,H00613,L00214,7,18,2373.77,completed,none
B000457,G03282,H01094,L01760,7,10,1099.77,completed,none
B000458,G02107,H01123,L00606,3,23,842.92,completed,none
B000459,G01976,H00704,L00220,6,25,1418.01,completed,none
B000460,G01982,H01074,L01343,6,13,2686.01,completed,none
B000461,G03650,H01128,L02430,5,10,960.16,completed,none
B000462,G01942,H00733,L02691,3,0,935.89,completed,none
B000463,G02884,H00145,L00502,8,17,787.09,completed,none
B000464,G02066,H01091,L02554,8,41,1732.56,completed,none
B000465,G03245,H01474,L02023,3,9,706.14,completed,none
B000466,G02831,H00248,L01021,1,11,308.65,completed,none
B000467,G00279,H01365,L01297,3,0,608.91,active,none
