listing_id,host_id,market,property_type,nightly_price,listing_review_score,listing_cleanliness_score,listing_accuracy_score,listing_review_count,cancellation_policy,instant_book_enabled
L00027,H00357,Austin,entire_home,121.4,4.75,4.01,4.85,19,moderate,0
L00028,H00667,Los Angeles,entire_home,216.79,4.42,4.57,4.06,11,moderate,1
L00029,H00392,Denver,entire_home,101.68,4.74,4.84,4.21,15,strict,1
L00030,H00097,Austin,entire_home,95.29,4.42,4.6,4.59,9,moderate,0
L00031,H01072,Denver,entire_home,251.55,4.47,4.54,4.49,26,moderate,0
L00032,H00060,Seattle,hotel_room,62.88,4.21,4.41,4.67,24,strict,0
L00033,H01266,Nashville,entire_home,88.97,4.67,4.63,4.51,16,strict,1
L00034,H01395,Nashville,entire_home,312.64,4.42,4.36,5.0,22,flexible,1
L00035,H00834,Miami,private_room,454.51,4.76,4.61,4.64,12,moderate,1
L00036,H00426,San Francisco,entire_home,289.8,4.96,5.0,4.85,10,moderate,0
L00037,H00172,Boston,entire_home,97.66,4.6,4.92,4.38,10,moderate,1
L00038,H01359,Denver,entire_home,207.61,4.15,4.56,4.21,18,moderate,1
L00039,H00605,Miami,entire_home,85.2,4.34,4.1,4.38,16,strict,1
L00040,H00146,Chicago,entire_home,147.28,4.85,4.42,4.41,17,moderate,1
L00041,H00299,Boston,entire_home,122.24,4.68,4.66,4.4,9,moderate,1
L00042,H01049,Los Angeles,private_room,307.42,4.29,4.68,4.2,18,moderate,1
L00043,H00917,Austin,entire_home,157.26,4.98,4.9,4.04,16,flexible,1
L00044,H00548,Chicago,entire_home,57.92,4.85,4.08,4.23,19,flexible,1
L00045,H00964,Los Angeles,private_room,206.63,4.84,4.87,4.7,4,moderate,1
L00046,H00205,Seattle,entire_home,139.14,4.46,4.74,4.57,11,moderate,0
L00047,H01175,Denver,private_room,134.97,5.0,4.95,4.42,7,flexible,1
L00048,H00461,Boston,entire_home,308.35,4.54,4.06,4.72,17,flexible,0
L00049,H01480,Austin,entire_home,170.3,4.74,5.0,3.83,5,strict,0
L00050,H00167,Chicago,entire_home,88.04,4.61,4.16,4.83,23,strict,1
L00051,H00375,Miami,entire_home,130.23,3.93,4.28,4.93,4,flexible,1
L00052,H01226,Chicago,entire_home,128.01,4.41,4.26,4.29,6,moderate,0
L00053,H00905,Seattle,entire_home,153.32,4.68,4.72,4.3,10,flexible,1
L00054,H00670,Austin,entire_home,114.78,4.85,4.59,4.27,18,moderate,0
L00055,H01202,Seattle,entire_home,168.32,3.95,4.41,3.94,19,flexible,1
L00056,H01461,San Francisco,entire_home,199.74,4.45,5.0,4.5,7,flexible,0
L00057,H00216,Austin,private_room,213.13,4.88,4.78,3.74,8,strict,0
L00058,H00820,Denver,entire_home,184.99,4.24,4.33,4.48,22,moderate,1
L00059,H01182,Boston,entire_home,173.29,4.59,4.13,4.44,5,strict,1
L00060,H00504,Nashville,hotel_room,198.91,4.52,4.89,4.7,13,strict,1
L00061,H00655,Miami,private_room,308.39,4.51,4.17,4.25,6,moderate,1
L00062,H01380,Denver,entire_home,75.54,4.24,4.72,4.72,11,moderate,1
L00063,H00069,San Francisco,entire_home,129.68,4.75,3.67,4.38,3,moderate,0
L00064,H00298,Nashville,entire_home,182.73,4.4,4.49,4.73,34,strict,1
L00065,H00122,New York,entire_home,150.53,4.46,5.0,4.55,7,flexible,0
L00066,H01290,New York,entire_home,115.24,4.95,4.67,4.74,25,moderate,1
L00067,H01447,Denver,entire_home,64.53,4.43,5.0,4.55,18,flexible,0
L00068,H01209,Los Angeles,entire_home,249.57,4.79,4.32,4.35,18,strict,0
L00069,H00154,Boston,entire_home,224.26,4.23,4.59,4.65,12,flexible,1
L00070,H00168,Seattle,entire_home,96.07,4.97,4.44,4.55,19,flexible,1
L00071,H00909,Los Angeles,entire_home,377.47,4.33,4.52,4.55,14,flexible,1
L00072,H00339,Austin,entire_home,176.36,4.33,4.18,4.1,22,moderate,1
L00073,H01442,Denver,entire_home,123.59,4.5,4.51,4.73,11,strict,1
L00074,H00222,Boston,entire_home,92.7,4.52,4.41,4.54,7,flexible,1
L00075,H00513,Chicago,entire_home,117.69,5.0,4.33,4.15,12,flexible,0
L00076,H01489,Los Angeles,entire_home,145.17,4.38,4.31,4.52,24,flexible,1
L00077,H00724,Los Angeles,private_room,165.68,4.54,4.36,4.47,16,strict,1
L00078,H01112,Austin,entire_home,182.58,4.48,4.84,4.99,10,moderate,0
L00079,H01036,Miami,entire_home,188.78,4.53,4.57,4.2,2,moderate,1
L00080,H01059,Denver,entire_home,219.28,5.0,4.42,4.53,16,flexible,1
L00081,H00237,Chicago,entire_home,134.66,4.56,4.66,4.55,6,moderate,1
L00082,H00715,Chicago,entire_home,200.34,4.29,4.64,3.95,15,flexible,1
L00083,H01449,Nashville,entire_home,114.3,4.16,4.44,4.26,10,strict,1
L00084,H00213,Boston,private_room,178.37,5.0,4.09,4.46,4,moderate,1
L00085,H00014,New York,entire_home,138.7,4.61,3.65,3.6,15,moderate,0
L00086,H00134,Seattle,hotel_room,202.36,4.75,5.0,4.7,10,strict,0
L00087,H00659,Seattle,entire_home,120.15,4.69,4.45,4.44,9,moderate,0
L00088,H00426,Austin,hotel_room,100.83,4.44,4.2,4.61,19,flexible,0
L00089,H00539,Denver,private_room,151.37,4.47,4.22,4.72,5,flexible,1
L00090,H00884,San Francisco,private_room,137.42,4.43,4.82,4.27,7,strict,0
L00091,H00866,San Francisco,entire_home,168.44,4.31,5.0,3.83,7,moderate,0
L00092,H00044,Boston,entire_home,115.21,4.5,4.85,3.49,5,moderate,1
L00093,H00520,New York,entire_home,104.92,4.51,4.21,4.79,17,strict,0
L00094,H01094,San Francisco,private_room,103.45,3.86,5.0,4.83,23,strict,1
L00095,H00295,Austin,private_room,86.36,4.7,5.0,4.38,10,strict,0
L00096,H00777,Miami,entire_home,310.62,4.34,3.81,4.83,6,strict,1
L00097,H00994,Los Angeles,entire_home,143.11,5.0,5.0,4.76,25,moderate,0
L00098,H01276,Austin,entire_home,200.6,4.94,4.18,4.73,23,moderate,1
L00099,H00815,Denver,entire_home,392.72,4.62,4.6,4.68,15,flexible,1
L00100,H00684,Nashville,entire_home,79.08,3.78,5.0,4.17,6,moderate,1
L00101,H01219,New York,entire_home,140.15,4.89,4.19,5.0,16,strict,0
L00102,H01209,Los Angeles,entire_home,322.22,4.6,4.78,4.2,9,strict,1
L00103,H00497,New York,entire_home,146.41,4.23,4.83,4.69,4,flexible,0
L00104,H00146,Seattle,entire_home,284.31,4.88,4.64,4.26,6,strict,0
L00105,H01143,Nashville,entire_home,49.21,3.71,4.1,4.84,3,moderate,1
L00106,H00175,Denver,entire_home,150.58,4.46,4.57,4.34,2,flexible,1
L00107,H00505,Boston,entire_home,63.35,5.0,4.22,4.98,4,flexible,1
L00108,H01051,Los Angeles,entire_home,176.12,4.76,4.75,4.72,9,moderate,1
L00109,H01451,New York,hotel_room,171.37,4.61,4.97,5.0,7,flexible,0
L00110,H00021,Los Angeles,private_room,96.23,4.54,5.0,3.83,6,moderate,1
L00111,H01109,Boston,entire_home,162.99,4.57,4.93,4.55,15,strict,1
L00112,H00481,Chicago,entire_home,227.71,5.0,3.86,4.67,4,flexible,1
L00113,H01191,Seattle,entire_home,232.22,3.82,4.04,4.03,20,strict,1
L00114,H00299,Austin,entire_home,238.46,4.71,4.0,4.93,11,moderate,1
L00115,H00495,Miami,entire_home,361.5,4.53,4.4,3.96,9,flexible,1
L00116,H00030,San Francisco,entire_home,273.29,4.6,4.82,4.21,8,flexible,1
L00117,H01114,Chicago,entire_home,113.37,3.99,4.46,4.66,27,moderate,0
L00118,H01284,Denver,entire_home,162.4,4.64,4.3,3.65,14,strict,0
L00119,H00489,Denver,private_room,191.82,4.28,3.9,4.28,5,moderate,1
L00120,H01023,Denver,entire_home,132.68,4.86,4.93,4.84,4,flexible,0
L00121,H01436,Boston,entire_home,126.47,4.37,4.74,4.13,12,moderate,1
L00122,H00196,Miami,hotel_room,229.7,3.97,4.65,4.77,10,flexible,0
L00123,H00126,New York,entire_home,89.94,4.11,4.28,4.7,8,flexible,0
L00124,H00092,Austin,private_room,120.36,4.32,4.64,4.02,10,moderate,1
L00125,H00705,New York,entire_home,283.82,4.86,4.3,3.96,25,strict,1
L00126,H01293,Austin,entire_home,136.2,4.42,4.48,4.41,15,strict,0
L00127,H00442,Los Angeles,entire_home,182.1,4.76,4.79,4.45,23,strict,1
L00128,H00967,Boston,entire_home,217.92,4.23,4.08,4.61,3,flexible,1
L00129,H00899,Seattle,entire_home,246.8,4.82,4.55,4.07,9,moderate,1
L00130,H00228,Chicago,entire_home,129.26,4.79,4.96,4.59,12,moderate,1
L00131,H01439,Los Angeles,entire_home,177.47,4.71,5.0,4.8,8,flexible,1
L00132,H00304,Nashville,entire_home,101.92,4.44,4.08,4.38,9,flexible,1
L00133,H01189,Miami,entire_home,168.07,4.44,4.56,5.0,28,moderate,0
L00134,H00092,San Francisco,hotel_room,93.84,4.34,4.29,4.19,10,flexible,1
L00135,H00891,Chicago,entire_home,148.06,4.71,5.0,4.51,8,flexible,0
L00136,H01408,Los Angeles,private_room,182.88,4.6,4.11,4.39,1,moderate,0
L00137,H00898,New York,entire_home,97.51,4.88,4.74,4.14,28,flexible,0
L00138,H00809,Chicago,entire_home,251.12,4.06,3.79,5.0,6,moderate,0
L00139,H01132,Miami,private_room,116.73,4.57,4.7,4.41,14,flexible,1
L00140,H00466,Chicago,private_room,114.48,4.78,4.82,4.25,8,moderate,1
L00141,H00205,Boston,entire_home,95.45,4.55,4.29,4.08,5,flexible,1
L00142,H00927,Austin,entire_home,208.84,4.36,3.73,4.83,9,moderate,1
L00143,H00278,Seattle,private_room,278.23,4.58,4.86,4.91,30,flexible,0
L00144,H00153,Boston,entire_home,144.89,4.77,3.83,4.84,5,flexible,1
L00145,H01361,Miami,entire_home,83.62,4.72,3.83,4.37,7,flexible,1
L00146,H01486,Nashville,private_room,96.83,4.8,4.66,4.43,19,flexible,1
L00147,H00227,Boston,entire_home,141.01,4.39,4.8,4.54,12,strict,0
L00148,H01002,New York,entire_home,125.27,4.53,4.55,3.99,18,moderate,0
L00149,H00677,Nashville,entire_home,81.84,4.97,3.85,4.12,9,flexible,0
L00150,H00789,Austin,entire_home,183.59,4.0,3.86,5.0,14,moderate,0
L00151,H00721,Seattle,entire_home,137.7,5.0,4.46,4.84,3,moderate,1
L00152,H00574,Austin,entire_home,226.1,4.16,5.0,4.25,20,flexible,1
L00153,H00623,Denver,entire_home,178.15,4.47,4.98,4.16,19,moderate,1
L00154,H01363,Austin,entire_home,169.72,4.29,4.53,4.71,20,flexible,0
L00155,H00911,Seattle,private_room,147.46,4.64,4.36,5.0,7,flexible,1
L00156,H01209,Nashville,entire_home,168.11,4.62,3.82,4.42,9,moderate,1
L00157,H00112,Austin,private_room,321.65,4.72,4.35,4.45,2,moderate,1
L00158,H00585,Seattle,hotel_room,67.96,4.6,4.2,4.96,8,strict,1
L00159,H00490,Boston,private_room,183.92,4.4,4.93,4.32,8,strict,0
L00160,H01140,Los Angeles,private_room,148.68,4.62,4.51,4.53,11,flexible,0
L00161,H00098,Chicago,entire_home,113.23,4.8,4.31,4.5,17,moderate,0
L00162,H00848,Denver,entire_home,213.15,4.43,4.41,3.99,18,strict,1
L00163,H00818,Chicago,private_room,131.39,4.54,4.46,4.65,7,moderate,0
L00164,H00296,Denver,entire_home,88.45,4.55,4.65,3.96,7,strict,0
L00165,H00989,Miami,hotel_room,104.95,4.68,5.0,4.34,18,moderate,1
L00166,H00899,Austin,private_room,204.81,4.53,4.15,3.59,7,flexible,0
L00167,H00942,Chicago,entire_home,179.61,4.83,3.87,4.4,17,flexible,1
L00168,H00149,Miami,entire_home,82.97,4.25,4.11,4.89,7,strict,1
L00169,H01054,Seattle,entire_home,73.24,4.48,4.41,4.53,14,moderate,0
L00170,H01180,Nashville,entire_home,136.77,4.42,4.33,3.98,18,moderate,1
L00171,H00424,Denver,entire_home,40.0,4.84,4.09,4.92,16,moderate,1
L00172,H00948,Seattle,private_room,320.42,4.62,5.0,4.06,27,moderate,1
L00173,H00054,Seattle,private_room,150.69,4.55,4.89,4.23,1,flexible,0
L00174,H00984,Chicago,entire_home,232.21,4.9,4.22,4.93,17,moderate,1
L00175,H00144,Seattle,entire_home,236.8,4.83,4.49,4.47,16,moderate,0
L00176,H01041,Seattle,entire_home,104.82,4.26,4.79,4.85,15,strict,1
L00177,H01308,Nashville,entire_home,179.01,4.29,4.7,4.46,10,flexible,0
L00178,H00744,Boston,entire_home,175.89,4.78,4.58,4.82,4,flexible,0
L00179,H01242,New York,hotel_room,153.4,4.07,4.19,4.46,10,moderate,1
L00180,H01238,Los Angeles,entire_home,95.74,4.6,4.74,4.41,22,flexible,1
L00181,H00617,Seattle,entire_home,231.69,4.67,4.71,5.0,14,moderate,1
L00182,H00344,Seattle,private_room,125.8,4.82,4.51,4.68,19,moderate,1
L00183,H01274,Denver,entire_home,109.94,4.14,4.33,4.21,11,moderate,1
L00184,H00405,New York,entire_home,249.82,4.48,4.51,4.16,8,moderate,1
L00185,H00565,Seattle,entire_home,127.16,4.22,4.49,5.0,7,strict,0
L00186,H00972,Boston,entire_home,145.2,4.46,3.66,4.22,8,moderate,0
L00187,H00336,Miami,hotel_room,199.32,4.69,4.15,4.59,17,moderate,0
L00188,H01068,Austin,entire_home,182.1,4.31,4.29,4.73,10,flexible,0
L00189,H01465,New York,entire_home,89.31,4.58,4.3,4.12,18,flexible,0
L00190,H01154,Miami,entire_home,84.56,4.48,4.04,4.21,11,strict,0
L00191,H01152,Denver,entire_home,193.2,4.12,3.95,4.51,40,strict,0
L00192,H00182,San Francisco,entire_home,173.87,4.48,4.5,4.33,11,flexible,1
L00193,H00233,Los Angeles,entire_home,149.3,4.75,4.83,4.98,10,flexible,1
L00194,H00878,Seattle,entire_home,87.0,4.81,4.22,4.55,13,strict,0
L00195,H01324,Denver,entire_home,164.54,5.0,4.76,3.8,9,flexible,1
L00196,H00312,Los Angeles,entire_home,182.91,4.53,4.41,4.57,19,flexible,1
L00197,H00284,Boston,entire_home,46.87,4.2,4.88,4.52,6,strict,1
L00198,H00529,Los Angeles,entire_home,133.73,4.42,4.61,4.86,8,strict,1
L00199,H01257,Nashville,entire_home,170.31,4.31,4.36,4.07,8,moderate,1
L00200,H01416,Chicago,entire_home,170.41,4.5,5.0,5.0,7,flexible,1
L00201,H00601,Nashville,entire_home,390.83,4.48,4.35,4.27,9,moderate,1
L00202,H00096,Nashville,entire_home,255.84,4.97,4.55,4.79,11,flexible,1
L00203,H01099,Seattle,entire_home,195.91,4.11,4.78,4.64,6,strict,0
L00204,H00618,New York,entire_home,248.95,4.63,4.2,4.97,21,moderate,1
L00205,H00654,Denver,private_room,175.76,4.24,4.06,4.15,13,moderate,0
L00206,H01395,Seattle,entire_home,209.12,4.7,4.61,4.48,17,moderate,1
L00207,H00461,Austin,entire_home,283.98,4.78,4.62,4.46,13,moderate,0
L00208,H00008,Los Angeles,entire_home,80.05,4.86,4.29,4.32,21,flexible,1
L00209,H01182,Seattle,private_room,388.15,4.25,4.63,3.83,15,strict,1
L00210,H01409,San Francisco,hotel_room,148.42,4.8,4.72,4.87,3,flexible,1
L00211,H00949,Boston,entire_home,254.34,4.35,4.18,4.49,5,moderate,1
L00212,H00101,Nashville,entire_home,204.34,4.68,4.84,5.0,7,strict,1
L00213,H00108,Seattle,entire_home,196.41,4.34,4.15,3.73,4,moderate,1
L00214,H00613,Chicago,private_room,282.77,4.57,4.77,4.35,14,strict,1
L00215,H00377,Nashville,entire_home,178.07,4.62,5.0,4.33,29,moderate,1
L00216,H00640,Denver,entire_home,266.24,5.0,4.62,4.26,13,moderate,1
L00217,H00632,Miami,entire_home,187.44,4.0,4.3,4.4,14,strict,1
L00218,H01004,San Francisco,entire_home,107.97,5.0,4.9,4.53,19,strict,0
L00219,H00033,Seattle,entire_home,99.25,4.34,4.52,4.29,5,moderate,0
L00220,H00704,Los Angeles,entire_home,203.25,4.33,4.56,4.51,9,flexible,0
L00221,H00367,Chicago,entire_home,116.41,4.29,4.9,4.25,10,moderate,1
L00222,H00262,San Francisco,entire_home,208.35,5.0,5.0,4.91,2,flexible,1
L00223,H00932,Seattle,entire_home,108.9,4.58,4.78,4.54,11,moderate,0
L00224,H01394,San Francisco,entire_home,280.86,4.43,4.67,4.59,8,flexible,1
L00225,H00343,New York,entire_home,324.91,4.33,4.26,3.98,10,flexible,1
L00226,H00688,Los Angeles,entire_home,222.79,4.51,4.55,4.67,8,flexible,0
L00227,H00775,San Francisco,entire_home,154.21,4.01,4.84,4.75,16,strict,1
L00228,H00828,San Francisco,entire_home,156.33,4.52,4.56,4.8,3,moderate,0
L00229,H00163,New York,entire_home,194.55,4.68,5.0,3.91,24,flexible,1
L00230,H00374,Chicago,entire_home,388.68,4.46,5.0,4.73,8,moderate,1
L00231,H00044,Seattle,private_room,184.29,4.86,5.0,4.65,9,moderate,1
L00232,H00627,Chicago,hotel_room,245.15,4.36,4.79,4.44,11,flexible,1
L00233,H01413,Nashville,private_room,115.04,4.47,4.23,4.48,18,strict,0
L00234,H01265,Miami,private_room,164.4,4.24,4.27,4.46,12,strict,1
L00235,H00932,Seattle,private_room,332.79,4.85,4.46,4.28,32,flexible,1
L00236,H00952,San Francisco,entire_home,370.52,4.27,4.13,4.04,14,moderate,1
L00237,H00459,Nashville,entire_home,100.72,4.97,4.48,4.08,6,moderate,1
L00238,H00018,Austin,entire_home,165.21,4.34,4.32,4.37,16,strict,0
L00239,H01331,Los Angeles,private_room,271.97,4.75,4.66,4.48,29,moderate,1
L00240,H00798,Miami,private_room,283.36,4.34,4.38,5.0,7,flexible,0
L00241,H00046,Denver,entire_home,152.62,4.21,4.75,4.68,34,moderate,1
L00242,H01276,New York,entire_home,164.69,4.6,4.13,4.45,15,moderate,1
L00243,H00818,Denver,entire_home,129.09,4.15,4.01,4.36,23,flexible,1
L00244,H00822,Nashville,entire_home,83.46,5.0,4.4,4.36,15,moderate,1
L00245,H00916,Nashville,entire_home,148.67,4.62,4.82,4.57,10,flexible,1
L00246,H00482,Denver,private_room,202.98,4.55,4.65,4.23,9,strict,0
L00247,H00276,Nashville,entire_home,83.45,3.82,4.52,4.52,18,moderate,1
L00248,H01400,Nashville,private_room,568.85,4.63,4.84,3.87,1,strict,1
L00249,H00521,Seattle,entire_home,164.4,4.78,4.73,4.49,11,moderate,1
L00250,H01155,Los Angeles,entire_home,356.58,4.37,5.0,4.1,12,moderate,1
L00251,H00815,New York,entire_home,218.28,4.52,4.41,3.94,17,flexible,0
L00252,H01336,Miami,entire_home,289.1,4.65,4.72,4.63,4,moderate,1
L00253,H01163,San Francisco,entire_home,97.16,5.0,4.86,4.32,14,moderate,0
L00254,H00634,Nashville,entire_home,232.38,4.19,4.33,4.37,2,flexible,1
L00255,H01161,Chicago,private_room,123.66,4.89,4.7,4.05,9,moderate,0
L00256,H00578,Chicago,entire_home,171.11,4.77,4.9,4.47,11,strict,1
L00257,H00135,Nashville,entire_home,222.66,4.15,4.66,4.55,10,strict,0
L00258,H00324,Nashville,entire_home,178.49,3.99,4.04,4.94,5,moderate,1
L00259,H01263,Austin,entire_home,138.24,4.26,4.8,4.73,31,moderate,1
L00260,H01173,Austin,entire_home,173.99,4.42,4.79,4.52,25,moderate,1
L00261,H00034,Denver,private_room,240.41,4.15,3.93,4.53,10,moderate,1
L00262,H00911,Nashville,entire_home,149.55,4.66,4.59,4.82,26,strict,0
L00263,H00573,Los Angeles,private_room,193.72,4.21,4.74,4.3,12,moderate,1
L00264,H00123,Denver,private_room,158.5,4.7,4.87,4.3,12,flexible,1
L00265,H00699,Austin,entire_home,97.37,4.44,4.42,3.99,8,moderate,1
L00266,H00691,Seattle,private_room,335.15,4.47,4.59,4.04,8,strict,1
L00267,H00039,New York,entire_home,233.94,4.89,3.84,4.72,7,flexible,0
L00268,H00455,Denver,private_room,137.54,4.87,4.86,4.52,9,moderate,1
L00269,H01478,Miami,entire_home,109.84,4.76,4.26,3.68,14,flexible,0
L00270,H00361,San Francisco,entire_home,128.36,4.18,4.7,4.73,26,moderate,1
L00271,H01249,Chicago,entire_home,211.1,4.21,4.11,4.18,14,moderate,1
L00272,H00307,Seattle,entire_home,175.54,4.37,4.69,4.57,23,moderate,1
L00273,H01240,Nashville,entire_home,252.31,5.0,4.57,4.52,8,moderate,0
L00274,H00293,Seattle,entire_home,100.11,4.17,4.44,4.73,12,moderate,1
L00275,H00493,Denver,hotel_room,187.11,4.73,3.48,4.01,6,moderate,1
L00276,H00826,Miami,entire_home,151.67,4.13,4.16,4.08,17,strict,1
L00277,H00295,New York,entire_home,127.72,4.73,4.59,5.0,17,flexible,1
L00278,H00072,New York,entire_home,330.88,4.31,4.09,5.0,13,flexible,1
L00279,H00132,Denver,private_room,138.93,4.7,4.45,4.68,15,moderate,1
L00280,H00484,Nashville,entire_home,162.65,4.27,4.27,4.04,5,flexible,1
L00281,H00488,Los Angeles,private_room,71.82,4.35,4.88,4.28,35,moderate,1
L00282,H00213,Denver,entire_home,304.04,4.51,3.9,4.27,12,moderate,1
L00283,H00422,Boston,entire_home,109.41,4.33,4.33,4.2,21,moderate,1
L00284,H00359,New York,entire_home,80.94,4.22,4.43,4.3,9,moderate,1
L00285,H00379,Chicago,entire_home,246.11,4.4,4.93,4.58,5,moderate,1
L00286,H00311,Nashville,entire_home,269.54,4.61,4.68,5.0,25,moderate,1
L00287,H00334,Los Angeles,private_room,221.74,3.66,4.83,4.16,17,moderate,1
L00288,H00380,Miami,entire_home,74.53,4.61,4.36,4.46,8,flexible,1
L00289,H01058,Chicago,entire_home,196.52,4.03,4.47,4.87,7,moderate,0
L00290,H00986,Nashville,entire_home,45.87,4.64,4.46,4.49,15,strict,1
L00291,H01040,Chicago,entire_home,93.93,5.0,4.55,5.0,11,flexible,1
L00292,H00146,Los Angeles,entire_home,139.6,4.49,4.79,4.72,13,moderate,0
L00293,H00273,Austin,entire_home,264.11,4.61,4.71,4.69,7,flexible,0
L00294,H00841,Denver,private_room,187.33,4.2,5.0,4.7,4,flexible,0
L00295,H00385,Seattle,entire_home,299.26,4.48,4.84,4.75,18,strict,1
L00296,H00065,Miami,entire_home,125.15,4.06,4.54,4.64,11,flexible,0
L00297,H00494,Austin,private_room,97.12,4.88,4.24,4.64,22,strict,1
L00298,H00218,Denver,entire_home,160.41,4.18,4.7,4.41,13,strict,1
L00299,H00079,New York,entire_home,137.43,4.5,3.89,4.84,9,moderate,1
L00300,H00287,Boston,private_room,177.48,5.0,4.26,4.67,11,flexible,0
L00301,H00421,Boston,entire_home,212.94,4.49,4.56,4.38,6,flexible,1
L00302,H00499,Miami,private_room,261.45,4.5,4.91,4.82,12,strict,1
L00303,H00281,Seattle,entire_home,180.96,4.64,4.43,4.36,16,strict,0
L00304,H01119,Los Angeles,private_room,183.4,4.98,4.62,3.88,12,strict,0
L00305,H01262,Boston,private_room,142.26,4.45,4.32,4.58,20,strict,1
L00306,H01076,Boston,entire_home,186.26,5.0,5.0,4.55,11,flexible,0
L00307,H01457,Miami,entire_home,384.77,4.67,4.84,4.24,4,moderate,0
L00308,H00483,Seattle,entire_home,136.59,4.76,4.59,4.59,8,moderate,1
L00309,H01019,New York,entire_home,156.76,4.81,4.78,3.95,13,moderate,1
L00310,H00733,Austin,hotel_room,275.54,4.61,4.34,5.0,8,moderate,0
L00311,H00894,San Francisco,private_room,396.78,4.47,4.37,4.09,5,moderate,1
L00312,H01092,Denver,private_room,104.85,4.49,4.85,4.94,3,moderate,1
L00313,H00071,Austin,entire_home,106.99,4.31,4.76,5.0,6,flexible,0
L00314,H00661,Miami,entire_home,108.83,4.25,4.71,5.0,26,moderate,1
L00315,H00869,Nashville,private_room,68.24,4.42,4.07,4.51,23,moderate,1
L00316,H00558,Boston,entire_home,170.72,4.45,4.74,4.13,3,flexible,0
L00317,H00256,Boston,entire_home,355.48,4.37,4.82,4.69,7,moderate,1
L00318,H01317,Seattle,entire_home,252.08,4.25,4.78,4.39,14,flexible,1
L00319,H00645,Denver,entire_home,160.38,4.74,4.84,4.46,28,moderate,1
L00320,H00595,Los Angeles,entire_home,281.88,5.0,4.63,4.96,10,moderate,0
L00321,H01279,Miami,entire_home,397.27,5.0,5.0,4.48,11,strict,1
L00322,H01297,Austin,entire_home,168.17,4.75,4.95,4.39,1,flexible,1
L00323,H00849,Seattle,private_room,162.59,4.08,4.56,4.3,14,strict,0
L00324,H01094,Los Angeles,entire_home,120.61,5.0,4.14,4.48,2,moderate,0
L00325,H01241,Miami,entire_home,241.52,4.73,4.62,4.27,9,flexible,1
L00326,H00023,Boston,entire_home,332.53,4.83,4.48,4.37,14,moderate,1
L00327,H00495,Miami,entire_home,262.61,4.96,4.89,4.63,26,strict,0
L00328,H00885,Nashville,entire_home,104.03,5.0,4.26,4.02,12,strict,0
L00329,H01270,Boston,entire_home,237.07,4.58,4.02,4.25,6,moderate,1
L00330,H00946,Denver,entire_home,115.66,4.29,3.82,4.47,9,flexible,0
L00331,H00395,San Francisco,private_room,62.94,4.93,4.95,5.0,14,moderate,0
L00332,H00857,Seattle,entire_home,167.72,3.5,4.97,4.61,3,flexible,1
L00333,H00465,Chicago,entire_home,281.05,4.27,5.0,4.74,6,moderate,1
L00334,H00214,Los Angeles,entire_home,123.97,5.0,5.0,4.47,3,moderate,1
