ticket_id,booking_id,issue_category,contact_channel,priority_initial,guest_id,host_id,listing_id,nights,days_until_checkin_at_ticket,total_booking_value,booking_status,cancelled_by,guest_account_age_days,guest_past_bookings_count,guest_past_support_tickets_12m,guest_past_refund_requests_12m,guest_lifetime_booking_value,guest_id_verified,host_superhost,host_response_rate,host_cancellation_rate_12m,host_avg_response_time_minutes,host_past_guest_complaints_12m,host_avg_rating,market,property_type,nightly_price,listing_review_score,listing_cleanliness_score,listing_accuracy_score,listing_review_count,cancellation_policy,instant_book_enabled,same_week_checkin_flag,strict_policy_flag,host_cancelled_booking_flag,high_value_booking_flag,sentiment_score,urgency_score,time_to_first_agent_response_minutes,message_count_first_30min,senior_agent_routing,rebooking_coupon_offered,repeat_contact_probability,repeat_contact_7d,escalation_probability,escalated,resolution_hours,csat_score,poor_csat,long_resolution
T000010,B000010,checkin_problem,phone,low,G01154,H01155,L02380,2,30,277.93,completed,none,2920,2,1,0,1758.9,1,0,0.904,0.015,83.8,2,4.25,Miami,entire_home,136.76,5.0,4.55,4.55,20,strict,0,0,1,0,0,-0.629,0.389,20.1,4,0,0,0.451,1,0.31,0,19.29,4,0,0
T000011,B000011,listing_not_as_described,email,low,G01419,H00100,L01133,9,43,2033.23,completed,none,2027,6,1,0,2441.72,1,1,0.88,0.097,25.9,1,4.85,Los Angeles,entire_home,183.92,4.41,4.36,3.94,14,moderate,1,0,0,0,1,-0.398,0.316,30.8,2,0,0,0.199,1,0.214,0,12.28,3,0,0
T000012,B000012,host_cancellation,chat,medium,G01948,H01210,L02577,7,42,1382.45,cancelled,guest,404,3,1,0,2872.68,1,1,0.8,0.144,179.5,1,4.64,Nashville,private_room,190.13,4.57,4.71,4.99,15,moderate,1,0,0,0,0,-0.496,0.584,21.9,2,0,0,0.71,0,0.254,0,10.06,5,0,0
T000013,B000013,payment_problem,email,low,G01096,H00775,L00353,1,4,460.62,completed,none,2193,2,1,0,2493.43,1,0,0.595,0.024,339.8,1,4.28,Miami,entire_home,415.16,4.67,4.3,3.73,13,flexible,0,1,0,0,0,-0.291,0.18,35.8,2,0,0,0.304,1,0.251,0,10.69,4,0,0
T000014,B000014,policy_question,email,low,G00730,H01457,L00307,7,15,3104.72,completed,none,709,2,2,0,1428.99,1,1,0.873,0.048,79.4,3,4.66,Miami,entire_home,384.77,4.67,4.84,4.24,4,moderate,0,0,0,0,1,-0.067,0.629,49.0,4,0,0,0.27,0,0.123,0,2.12,4,0,0
T000015,B000015,host_cancellation,phone,low,G01811,H00098,L00161,8,-1,873.53,completed,none,1876,4,0,1,3694.98,1,0,0.709,0.056,57.9,4,4.37,Chicago,entire_home,113.23,4.8,4.31,4.5,17,moderate,0,1,0,0,0,-0.835,0.888,60.9,3,0,0,0.897,1,0.523,1,47.05,3,0,1
T000016,B000016,checkin_problem,email,medium,G02239,H00139,L02452,5,35,828.77,completed,none,1196,3,0,1,3940.26,1,0,0.884,0.097,32.8,3,4.87,Boston,entire_home,149.13,4.46,4.42,4.96,4,moderate,1,0,0,0,0,-0.192,0.271,18.0,5,1,0,0.087,0,0.089,0,3.23,5,0,0
T000017,B000017,checkin_problem,chat,medium,G02399,H01278,L02730,7,34,1418.97,completed,none,2809,5,0,0,3405.18,1,0,0.922,0.091,14.0,2,4.14,Chicago,private_room,165.59,4.35,4.24,4.44,4,flexible,1,0,0,0,0,-0.265,0.176,72.0,1,0,1,0.162,0,0.102,0,3.48,4,0,0
T000018,B000018,refund_request,phone,medium,G02601,H00822,L02504,7,34,1251.1,completed,none,2149,5,0,0,2284.24,1,1,0.755,0.041,21.7,1,4.49,Chicago,entire_home,167.32,4.4,4.87,4.28,18,flexible,0,0,0,0,0,-0.146,0.262,33.4,3,0,0,0.162,0,0.102,0,8.61,4,0,0
T000019,B000019,payment_problem,self_serve,medium,G01187,H01013,L00786,9,9,2584.58,completed,none,1855,2,1,1,2596.23,1,0,0.513,0.035,222.3,4,5.0,Austin,entire_home,255.21,4.69,4.29,4.21,20,moderate,0,0,0,0,1,-0.543,0.404,15.5,4,0,0,0.496,0,0.181,0,0.65,5,0,0
T000020,B000020,refund_request,email,high,G02335,H01480,L01161,4,4,732.33,cancelled,guest,2429,2,0,0,3417.65,1,0,0.81,0.034,6.4,3,4.92,Austin,private_room,155.63,4.08,4.35,4.21,13,moderate,0,1,0,0,0,-0.251,0.627,35.4,7,1,0,0.268,0,0.123,0,14.45,5,0,0
T000021,B000021,listing_not_as_described,chat,low,G02165,H00966,L02081,3,9,804.22,completed,none,2133,3,4,0,4045.29,1,1,0.903,0.029,16.1,3,4.29,Denver,private_room,210.96,4.19,5.0,4.46,11,flexible,1,0,0,0,0,-0.185,0.332,29.4,1,0,0,0.258,1,0.234,0,28.24,4,0,1
T000022,B000022,listing_not_as_described,chat,low,G02477,H01495,L01229,1,11,171.15,completed,none,2335,5,1,0,2127.01,1,0,0.709,0.114,285.5,2,4.32,Miami,entire_home,161.99,4.83,4.75,4.37,5,moderate,0,0,0,0,0,0.199,0.297,47.1,2,0,0,0.294,0,0.129,0,4.0,5,0,0
T000023,B000023,refund_request,phone,low,G00818,H00797,L02611,8,21,2838.28,cancelled,host,447,8,3,0,1470.62,1,1,0.744,0.027,118.2,0,5.0,Los Angeles,entire_home,304.91,4.62,4.74,4.19,7,moderate,1,0,0,1,1,-0.075,0.571,95.7,5,0,0,0.462,0,0.236,0,10.21,5,0,0
T000024,B000024,host_cancellation,chat,low,G02795,H00767,L02029,4,30,256.42,completed,none,2321,6,0,0,3858.28,1,0,0.52,0.149,245.7,3,4.85,Boston,entire_home,55.98,4.0,4.07,5.0,14,moderate,1,0,0,0,0,-0.625,0.505,24.6,1,0,0,0.782,1,0.466,0,4.15,3,0,0
T000025,B000025,safety_issue,self_serve,low,G01056,H00000,L01471,9,7,1788.93,cancelled,guest,334,8,1,0,3386.46,1,0,0.758,0.039,33.5,2,4.56,Miami,private_room,154.45,4.82,4.6,4.62,13,moderate,1,1,0,0,1,-0.88,0.929,24.3,3,0,0,0.869,1,0.808,0,8.43,4,0,0
T000026,B000026,checkin_problem,chat,low,G00718,H01081,L02311,8,43,751.64,completed,none,929,8,3,0,1171.09,1,1,0.673,0.035,57.9,1,4.6,Chicago,entire_home,78.76,4.58,4.41,4.17,32,flexible,1,0,0,0,0,0.899,0.302,54.8,2,0,0,0.357,0,0.144,0,15.04,5,0,0
T000027,B000027,refund_request,chat,medium,G00697,H01352,L02788,3,3,305.49,cancelled,host,1354,2,0,1,1657.08,1,0,0.703,0.033,120.2,2,4.46,Austin,private_room,88.33,4.45,4.18,4.74,6,strict,1,1,1,1,0,-0.521,0.672,16.0,2,0,0,0.792,0,0.286,1,28.25,4,0,1
T000028,B000028,policy_question,chat,low,G02311,H00028,L02464,6,25,793.47,completed,none,36,3,4,0,2737.88,1,0,0.917,0.035,45.0,1,4.71,Chicago,private_room,107.41,4.48,4.78,4.03,4,strict,0,0,1,0,0,-0.825,0.237,70.9,1,0,1,0.525,1,0.343,0,13.8,3,0,0
T000029,B000029,policy_question,chat,low,G03189,H00686,L01121,2,-2,375.62,completed,none,460,4,0,1,3050.94,1,1,0.851,0.028,198.8,1,4.55,Denver,private_room,157.13,3.64,4.68,4.37,15,moderate,1,1,0,0,0,-0.671,0.652,56.4,2,0,1,0.556,1,0.357,0,11.16,4,0,0
T000030,B000030,refund_request,chat,medium,G00067,H00278,L00143,8,35,2867.89,completed,none,2614,4,0,1,2635.35,1,0,0.588,0.006,72.5,1,4.64,Seattle,private_room,278.23,4.58,4.86,4.91,30,flexible,0,0,0,0,1,-0.018,0.599,7.7,2,1,0,0.24,1,0.228,0,7.26,4,0,0
T000031,B000031,host_cancellation,phone,medium,G02547,H00192,L01983,4,37,747.35,completed,none,672,7,2,0,615.49,0,0,0.683,0.095,97.8,0,4.23,Seattle,private_room,150.14,4.73,4.79,4.45,6,moderate,1,0,0,0,0,-0.682,0.822,18.3,4,1,0,0.741,1,0.446,1,20.81,3,0,0
T000032,B000032,policy_question,phone,low,G01464,H00572,L01382,5,35,914.13,completed,none,489,2,2,1,766.57,1,1,0.744,0.094,8.6,1,4.35,Boston,entire_home,145.47,4.53,4.63,4.18,5,moderate,0,0,0,0,0,0.062,0.332,18.4,1,0,0,0.295,1,0.248,1,2.18,4,0,0
T000033,B000033,refund_request,self_serve,medium,G03373,H01295,L02586,9,0,1798.72,completed,none,2666,4,2,1,3069.75,1,0,0.941,0.057,39.9,3,4.47,San Francisco,entire_home,197.64,4.47,4.4,4.33,8,moderate,1,1,0,0,1,-0.209,0.777,39.6,4,0,0,0.445,0,0.167,0,4.73,4,0,0
T000034,B000034,payment_problem,self_serve,high,G03559,H01086,L02784,4,26,2517.21,cancelled,guest,1524,2,1,0,2525.24,1,0,0.985,0.022,41.8,3,4.89,Austin,private_room,533.28,4.65,4.32,4.54,14,strict,1,0,1,0,1,-0.322,0.368,4.6,3,1,0,0.147,0,0.099,0,9.6,5,0,0
T000035,B000035,checkin_problem,chat,high,G00054,H00675,L00586,8,35,1340.88,completed,none,2613,6,1,1,2153.45,0,1,0.907,0.053,84.4,1,4.61,Austin,entire_home,138.0,4.58,4.86,4.41,17,flexible,1,0,0,0,0,0.137,0.345,35.3,2,0,0,0.188,0,0.107,0,1.52,4,0,0
T000036,B000036,payment_problem,phone,low,G03487,H01382,L00906,6,33,899.24,completed,none,360,7,0,2,3077.79,1,1,0.883,0.044,29.1,3,4.39,Denver,entire_home,114.92,5.0,5.0,4.67,17,moderate,0,0,0,0,0,-0.493,0.289,39.8,1,0,1,0.335,0,0.138,0,12.16,4,0,0
T000037,B000037,policy_question,chat,medium,G03346,H00136,L00405,5,3,737.63,completed,none,867,7,2,0,3132.98,1,1,0.868,0.133,148.5,1,4.48,Austin,private_room,128.75,4.12,4.67,4.18,7,flexible,1,1,0,0,0,-0.627,0.623,66.2,2,0,0,0.653,1,0.403,0,11.32,4,0,0
T000038,B000038,policy_question,chat,medium,G03577,H01201,L00589,7,1,703.92,completed,none,341,4,1,0,2782.86,1,0,0.964,0.023,67.4,3,4.59,Los Angeles,entire_home,80.26,4.23,4.43,4.26,23,flexible,1,1,0,0,0,-0.39,0.597,7.9,2,0,0,0.35,0,0.142,0,15.63,4,0,0
T000039,B000039,refund_request,email,low,G03929,H00441,L02433,2,39,431.57,completed,none,2278,7,1,1,2904.09,1,1,0.821,0.015,398.7,5,4.76,New York,entire_home,187.87,4.77,4.35,4.8,8,flexible,1,0,0,0,0,-0.363,0.327,85.5,1,0,0,0.168,0,0.103,0,13.59,4,0,0
T000040,B000040,refund_request,chat,low,G01671,H00828,L02401,1,12,172.95,completed,none,557,8,0,0,4911.99,1,0,0.727,0.165,139.3,0,4.56,San Francisco,entire_home,127.92,4.82,4.73,4.47,19,flexible,1,0,0,0,0,-0.287,0.406,18.6,2,0,0,0.366,1,0.275,1,32.92,2,1,1
T000041,B000041,host_cancellation,email,medium,G02937,H01024,L02058,5,43,1766.83,completed,none,2687,9,3,0,3539.84,1,0,0.875,0.088,211.4,2,4.81,San Francisco,private_room,278.04,4.93,5.0,5.0,22,strict,0,0,1,0,1,0.311,0.735,33.5,5,1,1,0.55,1,0.354,0,7.99,4,0,0
T000042,B000042,refund_request,email,low,G00164,H01222,L02871,5,24,1557.57,completed,none,1598,3,2,0,2091.23,1,0,0.638,0.041,66.6,1,4.78,Boston,entire_home,261.25,4.88,3.87,4.17,17,moderate,1,0,0,0,1,-0.576,0.564,125.3,4,0,0,0.568,0,0.276,0,3.47,5,0,0
T000043,B000043,host_cancellation,chat,low,G00892,H00952,L00236,4,9,1936.04,cancelled,guest,1281,3,1,1,2580.32,1,0,0.907,0.004,67.9,3,4.54,San Francisco,entire_home,370.52,4.27,4.13,4.04,14,moderate,1,0,0,0,1,0.207,0.717,21.2,1,1,0,0.358,0,0.144,0,7.47,5,0,0
T000044,B000044,policy_question,chat,medium,G01337,H00540,L02778,9,23,2530.45,completed,none,1388,5,1,1,2192.8,1,0,0.741,0.08,55.4,1,4.87,Denver,entire_home,260.53,4.14,4.27,4.08,9,moderate,1,0,0,0,1,-0.287,0.342,9.3,1,0,0,0.29,0,0.128,0,8.36,4,0,0
T000045,B000045,listing_not_as_described,chat,low,G03108,H01343,L02257,5,24,1439.36,completed,none,2401,7,1,0,2655.77,1,0,0.766,0.025,127.1,2,4.48,New York,hotel_room,231.8,4.48,4.58,4.03,27,strict,1,0,1,0,0,-0.377,0.376,28.5,3,0,0,0.251,0,0.119,1,39.2,4,0,1
T000046,B000046,refund_request,email,low,G03411,H00714,L00991,2,13,323.91,completed,none,1711,4,1,0,891.27,1,0,0.742,0.039,49.3,4,4.62,Los Angeles,entire_home,133.81,4.42,4.79,4.92,19,strict,1,0,1,0,0,-0.135,0.294,22.3,1,0,0,0.334,0,0.138,0,9.38,4,0,0
T000047,B000047,host_cancellation,email,medium,G01181,H00513,L02882,2,34,476.31,completed,none,2862,3,0,0,1009.28,1,0,0.566,0.052,51.5,2,4.59,Seattle,entire_home,219.04,4.99,3.92,4.34,9,moderate,1,0,0,0,0,0.327,0.66,20.2,2,0,0,0.591,1,0.373,0,20.84,4,0,0
T000048,B000048,host_cancellation,chat,low,G01675,H01466,L00951,2,11,585.66,completed,none,2583,3,1,0,1946.63,1,0,0.759,0.079,160.3,4,4.17,Los Angeles,entire_home,246.18,4.7,3.94,4.56,20,flexible,0,0,0,0,0,-0.815,0.479,31.7,2,0,0,0.631,1,0.392,1,15.09,4,0,0
T000049,B000049,payment_problem,phone,medium,G01377,H00714,L02161,9,29,3617.52,completed,none,610,5,0,0,1993.19,1,0,0.742,0.039,49.3,4,4.62,Miami,entire_home,319.23,4.87,3.79,4.28,9,moderate,0,0,0,0,1,-0.745,0.441,16.1,2,1,0,0.415,0,0.158,1,33.26,4,0,1
T000050,B000050,checkin_problem,phone,low,G00861,H00577,L02518,7,42,1275.27,active,none,2682,5,0,0,1444.34,1,0,0.785,0.022,104.3,3,4.69,Nashville,entire_home,176.03,4.2,4.31,4.55,12,flexible,1,0,0,0,0,-0.342,0.445,51.4,2,0,0,0.201,0,0.109,0,6.1,5,0,0
T000051,B000051,refund_request,phone,low,G03129,H00219,L02943,9,41,3257.42,completed,none,1155,5,1,1,3246.89,1,1,0.788,0.097,134.0,1,4.5,Boston,entire_home,306.17,4.72,4.51,4.19,0,moderate,1,0,0,0,1,-0.511,0.563,132.4,1,0,0,0.482,0,0.243,0,13.95,5,0,0
T000052,B000052,host_cancellation,chat,low,G02903,H00058,L02503,3,17,529.38,completed,none,1688,2,0,1,2490.31,1,1,0.748,0.138,47.7,5,4.77,Boston,entire_home,145.59,4.57,4.46,4.0,15,flexible,1,0,0,0,0,-0.061,0.565,38.6,3,1,0,0.51,0,0.185,0,5.16,5,0,0
T000053,B000053,refund_request,chat,low,G00533,H01111,L02861,2,10,525.48,completed,none,754,5,4,1,361.74,1,1,0.752,0.053,147.4,2,4.26,New York,entire_home,221.69,4.37,5.0,4.34,12,flexible,0,0,0,0,0,0.142,0.315,42.7,2,0,0,0.266,0,0.123,0,4.53,5,0,0
T000054,B000054,checkin_problem,chat,medium,G02796,H00355,L02633,9,44,922.94,active,none,2631,3,2,1,1085.61,1,0,0.859,0.117,68.3,3,4.89,Austin,entire_home,90.02,4.67,3.87,4.95,12,strict,1,0,1,0,0,-0.595,0.419,14.2,2,1,0,0.435,0,0.164,0,14.98,4,0,0
T000055,B000055,host_cancellation,chat,low,G01485,H00143,L01947,1,34,206.45,completed,none,2420,8,0,0,3911.77,1,1,0.748,0.033,25.6,2,4.88,Austin,entire_home,176.71,4.34,5.0,4.65,9,strict,1,0,1,0,0,-0.165,0.321,58.0,5,0,1,0.454,0,0.169,0,4.2,5,0,0
T000056,B000056,payment_problem,chat,high,G00918,H01331,L01047,3,34,927.97,active,none,2411,5,0,0,473.57,0,1,0.88,0.015,137.4,3,4.66,Chicago,private_room,255.55,4.81,4.83,4.55,17,flexible,1,0,0,0,0,0.13,0.321,38.6,1,0,0,0.166,0,0.103,0,5.58,5,0,0
T000057,B000057,host_cancellation,chat,medium,G01089,H00003,L02807,8,32,652.06,completed,none,2470,7,2,0,2607.42,1,0,0.777,0.025,92.3,0,5.0,New York,entire_home,68.59,4.6,4.56,4.57,15,moderate,1,0,0,0,0,-0.885,0.676,21.0,2,0,1,0.592,0,0.211,0,2.19,4,0,0
T000058,B000058,checkin_problem,email,medium,G01904,H00710,L01239,6,36,1286.66,active,none,410,10,1,0,1193.03,1,1,0.731,0.056,179.0,3,4.79,Los Angeles,private_room,193.84,4.49,4.64,4.36,5,strict,1,0,1,0,0,0.559,0.27,52.6,1,0,0,0.335,1,0.263,0,19.36,4,0,0
T000059,B000059,policy_question,chat,medium,G03891,H00063,L00919,1,8,295.14,completed,none,1828,7,1,2,1992.06,1,1,0.807,0.033,83.6,4,4.67,Austin,entire_home,265.03,4.69,4.28,4.71,10,flexible,1,0,0,0,0,-0.636,0.317,39.2,1,0,1,0.339,0,0.139,1,15.04,4,0,0
T000060,B000060,policy_question,email,high,G00570,H00371,L02598,2,44,207.33,completed,none,1297,4,1,0,601.67,1,0,0.825,0.045,173.5,2,4.42,Miami,private_room,92.21,4.08,4.24,4.41,23,flexible,1,0,0,0,0,0.209,0.35,10.9,1,1,0,0.086,0,0.089,1,12.23,5,0,0
T000061,B000061,checkin_problem,email,medium,G01613,H01219,L00101,9,2,1368.9,active,none,1219,5,4,1,979.27,1,0,0.776,0.016,82.2,3,4.96,New York,entire_home,140.15,4.89,4.19,5.0,16,strict,0,1,1,0,0,-0.997,0.767,21.2,5,0,0,0.81,1,0.48,0,35.91,4,0,1
T000062,B000062,listing_not_as_described,chat,medium,G01131,H00721,L02286,7,6,1152.2,completed,none,1142,10,0,1,827.76,1,0,0.952,0.016,151.0,0,4.6,Boston,entire_home,139.7,4.75,4.85,3.68,5,strict,1,1,1,0,0,-0.34,0.468,29.0,2,1,1,0.247,0,0.119,0,7.39,5,0,0
T000063,B000063,safety_issue,phone,medium,G02791,H00945,L01355,2,3,267.64,completed,none,1796,0,1,0,2358.21,1,0,0.918,0.101,217.7,3,4.97,Denver,private_room,108.07,4.28,4.65,4.57,13,strict,1,1,1,0,0,-1.0,0.897,29.1,1,0,0,0.917,1,0.823,1,65.01,3,0,1
T000064,B000064,policy_question,phone,medium,G01471,H01400,L00248,4,38,2820.53,completed,none,1818,2,2,0,1129.86,1,0,0.689,0.018,85.2,6,4.54,Nashville,private_room,568.85,4.63,4.84,3.87,1,strict,1,0,1,0,1,0.286,0.664,33.5,1,1,1,0.37,0,0.147,0,8.67,4,0,0
T000065,B000065,refund_request,chat,medium,G02463,H00148,L01041,6,44,742.83,completed,none,92,2,1,0,1109.6,1,0,0.864,0.085,36.6,3,4.37,Denver,entire_home,105.86,5.0,4.34,4.21,4,moderate,1,0,0,0,0,0.436,0.257,15.4,1,0,0,0.179,0,0.105,0,7.83,4,0,0
T000066,B000066,host_cancellation,phone,medium,G02257,H00074,L02533,5,27,1258.91,completed,none,2730,5,1,2,2667.42,1,0,0.792,0.051,152.9,0,4.84,New York,entire_home,236.2,4.68,4.25,4.68,10,moderate,0,0,0,0,0,-0.448,0.477,80.8,2,0,1,0.31,0,0.132,0,12.11,5,0,0
T000067,B000067,refund_request,phone,low,G01642,H00335,L00912,1,26,259.95,completed,none,2397,2,3,0,1751.46,1,1,0.806,0.086,23.8,2,4.44,Boston,entire_home,231.46,4.05,4.5,4.11,31,moderate,0,0,0,0,0,-0.311,0.413,26.2,2,0,0,0.319,0,0.134,0,7.74,5,0,0
T000068,B000068,checkin_problem,chat,medium,G02776,H00955,L02904,7,20,1568.73,completed,none,1156,7,1,0,1726.46,1,0,0.538,0.044,117.2,1,4.83,San Francisco,entire_home,192.62,4.54,4.58,5.0,7,moderate,1,0,0,0,1,0.186,0.235,21.1,5,0,0,0.236,1,0.227,0,8.61,3,0,0
T000069,B000069,host_cancellation,chat,high,G02029,H01141,L01395,1,23,107.63,completed,none,2361,4,2,1,1955.39,1,1,0.664,0.026,219.3,1,4.68,Boston,entire_home,98.83,4.43,4.15,4.62,2,moderate,0,0,0,0,0,-0.073,0.513,11.4,1,0,0,0.511,1,0.337,1,8.33,2,1,0
T000070,B000070,payment_problem,email,low,G01781,H00155,L00584,7,19,1233.88,completed,none,792,6,2,1,3779.3,1,0,0.745,0.031,42.3,1,4.88,San Francisco,entire_home,164.68,4.85,3.97,4.45,5,moderate,0,0,0,0,0,0.113,0.5,37.3,2,1,0,0.218,0,0.113,1,20.59,5,0,0
T000071,B000071,policy_question,chat,low,G00472,H01293,L01640,3,18,362.08,completed,none,2909,4,2,2,3489.2,1,0,0.807,0.13,104.9,1,4.74,Nashville,entire_home,102.89,4.61,4.31,4.48,2,flexible,1,0,0,0,0,0.061,0.418,94.6,3,0,0,0.245,1,0.308,0,7.3,4,0,0
T000072,B000072,listing_not_as_described,phone,medium,G00249,H00979,L01205,4,3,369.22,completed,none,489,2,1,0,688.23,1,1,0.653,0.056,404.0,4,4.69,Denver,entire_home,83.91,5.0,4.78,4.58,8,flexible,1,1,0,0,0,-0.78,0.759,22.4,1,1,0,0.659,1,0.406,1,16.16,3,0,0
T000073,B000073,policy_question,phone,low,G00753,H00376,L02645,6,20,837.74,completed,none,1485,3,0,1,2784.64,1,1,0.85,0.079,284.3,3,4.45,Chicago,entire_home,118.96,4.26,3.68,4.9,24,strict,1,0,1,0,0,-0.739,0.367,18.6,2,0,0,0.486,1,0.326,1,6.08,3,0,0
T000074,B000074,payment_problem,chat,medium,G00112,H00235,L01719,8,19,495.47,completed,none,2279,2,4,0,4040.16,1,0,0.867,0.004,31.6,1,4.38,Nashville,entire_home,52.58,5.0,4.69,4.79,6,moderate,1,0,0,0,0,-0.007,0.394,28.5,1,1,0,0.165,1,0.203,0,10.46,3,0,0
T000075,B000075,checkin_problem,self_serve,medium,G00494,H00680,L01638,8,15,1215.28,active,none,1758,5,1,0,1055.61,1,1,0.663,0.099,411.2,5,4.52,Boston,entire_home,122.07,4.85,4.78,3.95,6,strict,1,0,1,0,0,-0.547,0.237,48.3,1,1,0,0.47,0,0.174,0,6.8,5,0,0
T000076,B000076,payment_problem,chat,medium,G02864,H00473,L00540,2,43,297.67,completed,none,138,7,2,1,2281.64,1,1,0.734,0.005,253.0,1,4.93,Chicago,entire_home,134.79,4.17,4.41,4.49,33,flexible,1,0,0,0,0,0.513,0.419,63.1,1,0,0,0.274,0,0.124,0,8.03,5,0,0
T000077,B000077,listing_not_as_described,self_serve,low,G01089,H01241,L01916,2,36,111.52,completed,none,2470,7,2,0,2607.42,1,0,0.917,0.016,15.3,1,4.47,New York,entire_home,59.08,4.99,4.63,4.92,13,moderate,1,0,0,0,0,0.147,0.528,175.2,2,1,0,0.121,1,0.258,0,13.9,4,0,0
T000078,B000078,checkin_problem,phone,low,G03075,H00253,L01009,2,15,333.06,completed,none,2534,2,0,1,1179.78,1,1,0.866,0.06,189.2,0,4.34,New York,entire_home,143.76,4.72,4.53,4.62,8,flexible,0,0,0,0,0,0.121,0.522,20.0,1,0,0,0.241,0,0.117,0,2.6,4,0,0
T000079,B000079,refund_request,self_serve,low,G02311,H01323,L01675,7,27,773.25,completed,none,36,3,4,0,2737.88,1,0,0.866,0.03,38.6,1,4.23,Austin,entire_home,97.26,4.07,4.61,4.04,5,strict,0,0,1,0,0,-0.242,0.265,57.6,1,0,0,0.317,1,0.256,0,1.48,3,0,0
