ticket_id,booking_id,issue_category,contact_channel,priority_initial
T000064,B000064,policy_question,phone,medium
T000065,B000065,refund_request,chat,medium
T000066,B000066,host_cancellation,phone,medium
T000067,B000067,refund_request,phone,low
T000068,B000068,checkin_problem,chat,medium
T000069,B000069,host_cancellation,chat,high
T000070,B000070,payment_problem,email,low
T000071,B000071,policy_question,chat,low
T000072,B000072,listing_not_as_described,phone,medium
T000073,B000073,policy_question,phone,low
T000074,B000074,payment_problem,chat,medium
T000075,B000075,checkin_problem,self_serve,medium
T000076,B000076,payment_problem,chat,medium
T000077,B000077,listing_not_as_described,self_serve,low
T000078,B000078,checkin_problem,phone,low
T000079,B000079,refund_request,self_serve,low
T000080,B000080,refund_request,email,low
T000081,B000081,policy_question,chat,medium
T000082,B000082,safety_issue,phone,medium
T000083,B000083,refund_request,phone,low
T000084,B000084,payment_problem,chat,medium
T000085,B000085,payment_problem,self_serve,low
T000086,B000086,payment_problem,self_serve,medium
T000087,B000087,checkin_problem,email,high
T000088,B000088,refund_request,chat,low
T000089,B000089,refund_request,email,low
T000090,B000090,refund_request,email,high
T000091,B000091,refund_request,chat,low
T000092,B000092,host_cancellation,chat,low
T000093,B000093,checkin_problem,email,low
T000094,B000094,listing_not_as_described,chat,medium
T000095,B000095,policy_question,chat,high
T000096,B000096,host_cancellation,email,high
T000097,B000097,refund_request,chat,medium
T000098,B000098,host_cancellation,chat,medium
T000099,B000099,checkin_problem,chat,low
T000100,B000100,policy_question,email,medium
T000101,B000101,safety_issue,chat,low
T000102,B000102,checkin_problem,chat,low
T000103,B000103,refund_request,email,low
T000104,B000104,refund_request,phone,medium
T000105,B000105,payment_problem,chat,low
T000106,B000106,checkin_problem,chat,low
T000107,B000107,policy_question,chat,low
T000108,B000108,checkin_problem,chat,medium
T000109,B000109,policy_question,chat,medium
T000110,B000110,refund_request,phone,medium
T000111,B000111,policy_question,chat,medium
T000112,B000112,checkin_problem,phone,medium
T000113,B000113,listing_not_as_described,chat,medium
T000114,B000114,policy_question,self_serve,medium
T000115,B000115,listing_not_as_described,chat,low
T000116,B000116,listing_not_as_described,chat,medium
T000117,B000117,host_cancellation,chat,low
T000118,B000118,policy_question,chat,low
T000119,B000119,checkin_problem,email,medium
T000120,B000120,policy_question,self_serve,low
T000121,B000121,policy_question,chat,medium
T000122,B000122,host_cancellation,self_serve,high
T000123,B000123,refund_request,email,medium
T000124,B000124,checkin_problem,phone,low
T000125,B000125,refund_request,email,medium
T000126,B000126,policy_question,phone,medium
T000127,B000127,safety_issue,phone,low
T000128,B000128,host_cancellation,phone,medium
T000129,B000129,safety_issue,chat,low
T000130,B000130,host_cancellation,phone,high
T000131,B000131,policy_question,chat,medium
T000132,B000132,refund_request,self_serve,low
T000133,B000133,listing_not_as_described,phone,high
T000134,B000134,refund_request,email,medium
T000135,B000135,refund_request,phone,medium
T000136,B000136,listing_not_as_described,phone,low
T000137,B000137,refund_request,chat,low
T000138,B000138,payment_problem,self_serve,medium
T000139,B000139,host_cancellation,phone,medium
T000140,B000140,safety_issue,email,medium
T000141,B000141,host_cancellation,email,low
T000142,B000142,policy_question,chat,low
T000143,B000143,policy_question,chat,low
T000144,B000144,host_cancellation,chat,low
T000145,B000145,policy_question,chat,medium
T000146,B000146,checkin_problem,chat,medium
T000147,B000147,payment_problem,chat,low
T000148,B000148,listing_not_as_described,chat,medium
T000149,B000149,checkin_problem,chat,high
T000150,B000150,refund_request,chat,low
T000151,B000151,policy_question,email,high
T000152,B000152,checkin_problem,chat,low
T000153,B000153,policy_question,chat,high
T000154,B000154,listing_not_as_described,phone,high
T000155,B000155,safety_issue,email,medium
T000156,B000156,payment_problem,chat,high
T000157,B000157,refund_request,chat,low
T000158,B000158,checkin_problem,chat,medium
T000159,B000159,safety_issue,phone,medium
T000160,B000160,refund_request,chat,medium
T000161,B000161,safety_issue,phone,medium
T000162,B000162,policy_question,chat,low
T000163,B000163,policy_question,chat,high
T000164,B000164,checkin_problem,chat,high
T000165,B000165,policy_question,phone,low
T000166,B000166,checkin_problem,chat,medium
T000167,B000167,refund_request,chat,low
T000168,B000168,listing_not_as_described,phone,medium
T000169,B000169,host_cancellation,chat,low
T000170,B000170,listing_not_as_described,phone,medium
T000171,B000171,host_cancellation,chat,low
T000172,B000172,refund_request,chat,low
T000173,B000173,policy_question,chat,medium
T000174,B000174,policy_question,self_serve,medium
T000175,B000175,host_cancellation,self_serve,medium
T000176,B000176,host_cancellation,chat,medium
T000177,B000177,payment_problem,chat,medium
T000178,B000178,policy_question,email,medium
T000179,B000179,checkin_problem,email,medium
T000180,B000180,refund_request,email,low
T000181,B000181,policy_question,chat,medium
T000182,B000182,host_cancellation,email,low
T000183,B000183,policy_question,email,medium
T000184,B000184,policy_question,email,medium
T000185,B000185,payment_problem,chat,medium
T000186,B000186,policy_question,self_serve,medium
T000187,B000187,safety_issue,self_serve,high
T000188,B000188,policy_question,chat,medium
T000189,B000189,policy_question,self_serve,low
T000190,B000190,host_cancellation,phone,medium
T000191,B000191,refund_request,email,medium
T000192,B000192,payment_problem,email,low
T000193,B000193,payment_problem,chat,medium
T000194,B000194,host_cancellation,email,low
T000195,B000195,safety_issue,chat,low
T000196,B000196,host_cancellation,phone,medium
T000197,B000197,checkin_problem,phone,medium
T000198,B000198,refund_request,chat,low
T000199,B000199,policy_question,self_serve,medium
T000200,B000200,listing_not_as_described,chat,medium
T000201,B000201,refund_request,email,high
T000202,B000202,listing_not_as_described,email,medium
T000203,B000203,checkin_problem,chat,low
T000204,B000204,refund_request,chat,low
T000205,B000205,policy_question,phone,medium
T000206,B000206,checkin_problem,email,low
T000207,B000207,refund_request,chat,medium
T000208,B000208,policy_question,chat,medium
T000209,B000209,refund_request,chat,medium
T000210,B000210,checkin_problem,email,medium
T000211,B000211,refund_request,chat,medium
T000212,B000212,host_cancellation,self_serve,high
T000213,B000213,host_cancellation,chat,low
T000214,B000214,listing_not_as_described,email,low
T000215,B000215,listing_not_as_described,chat,medium
T000216,B000216,listing_not_as_described,chat,low
T000217,B000217,checkin_problem,self_serve,low
T000218,B000218,payment_problem,chat,high
T000219,B000219,policy_question,self_serve,low
T000220,B000220,host_cancellation,phone,high
T000221,B000221,policy_question,email,medium
T000222,B000222,host_cancellation,chat,low
T000223,B000223,payment_problem,self_serve,medium
T000224,B000224,refund_request,email,high
T000225,B000225,checkin_problem,phone,medium
T000226,B000226,checkin_problem,chat,high
T000227,B000227,refund_request,chat,high
T000228,B000228,policy_question,chat,low
T000229,B000229,refund_request,chat,medium
T000230,B000230,payment_problem,chat,low
T000231,B000231,policy_question,chat,low
T000232,B000232,host_cancellation,self_serve,high
T000233,B000233,payment_problem,email,low
T000234,B000234,payment_problem,chat,medium
T000235,B000235,refund_request,chat,high
T000236,B000236,refund_request,chat,low
T000237,B000237,checkin_problem,chat,medium
T000238,B000238,refund_request,phone,low
T000239,B000239,host_cancellation,chat,high
T000240,B000240,host_cancellation,phone,low
T000241,B000241,policy_question,self_serve,medium
T000242,B000242,refund_request,phone,medium
T000243,B000243,policy_question,phone,medium
T000244,B000244,refund_request,chat,low
T000245,B000245,host_cancellation,phone,medium
T000246,B000246,host_cancellation,self_serve,high
T000247,B000247,policy_question,email,high
T000248,B000248,refund_request,phone,medium
T000249,B000249,policy_question,self_serve,medium
T000250,B000250,host_cancellation,phone,low
T000251,B000251,host_cancellation,email,low
T000252,B000252,checkin_problem,email,low
T000253,B000253,policy_question,phone,high
T000254,B000254,refund_request,chat,low
T000255,B000255,listing_not_as_described,email,low
T000256,B000256,host_cancellation,chat,low
T000257,B000257,policy_question,chat,medium
T000258,B000258,checkin_problem,chat,medium
T000259,B000259,checkin_problem,chat,medium
T000260,B000260,host_cancellation,email,medium
T000261,B000261,safety_issue,chat,medium
T000262,B000262,listing_not_as_described,email,low
T000263,B000263,refund_request,email,medium
T000264,B000264,listing_not_as_described,email,low
T000265,B000265,payment_problem,self_serve,low
T000266,B000266,safety_issue,self_serve,medium
T000267,B000267,policy_question,email,medium
T000268,B000268,checkin_problem,chat,low
T000269,B000269,checkin_problem,phone,medium
T000270,B000270,listing_not_as_described,email,low
T000271,B000271,refund_request,phone,medium
T000272,B000272,host_cancellation,phone,medium
T000273,B000273,policy_question,chat,medium
T000274,B000274,policy_question,chat,medium
T000275,B000275,host_cancellation,chat,low
T000276,B000276,refund_request,phone,low
T000277,B000277,policy_question,chat,low
T000278,B000278,policy_question,chat,medium
T000279,B000279,payment_problem,chat,medium
T000280,B000280,policy_question,chat,medium
T000281,B000281,listing_not_as_described,chat,high
T000282,B000282,listing_not_as_described,phone,medium
T000283,B000283,host_cancellation,chat,low
T000284,B000284,policy_question,phone,low
T000285,B000285,refund_request,chat,low
T000286,B000286,host_cancellation,email,medium
T000287,B000287,listing_not_as_described,chat,low
T000288,B000288,policy_question,chat,low
T000289,B000289,checkin_problem,email,high
T000290,B000290,policy_question,chat,low
T000291,B000291,host_cancellation,chat,low
T000292,B000292,host_cancellation,chat,medium
T000293,B000293,refund_request,self_serve,medium
T000294,B000294,checkin_problem,chat,medium
T000295,B000295,policy_question,chat,medium
T000296,B000296,host_cancellation,phone,high
T000297,B000297,host_cancellation,phone,high
T000298,B000298,host_cancellation,email,low
T000299,B000299,listing_not_as_described,chat,low
T000300,B000300,checkin_problem,self_serve,low
T000301,B000301,safety_issue,chat,low
T000302,B000302,policy_question,chat,medium
T000303,B000303,refund_request,chat,medium
T000304,B000304,payment_problem,chat,low
T000305,B000305,refund_request,chat,low
T000306,B000306,policy_question,phone,low
T000307,B000307,payment_problem,self_serve,medium
T000308,B000308,payment_problem,email,medium
T000309,B000309,policy_question,chat,medium
T000310,B000310,listing_not_as_described,phone,medium
T000311,B000311,checkin_problem,phone,low
T000312,B000312,listing_not_as_described,phone,medium
T000313,B000313,checkin_problem,phone,low
T000314,B000314,refund_request,chat,medium
T000315,B000315,host_cancellation,email,medium
T000316,B000316,payment_problem,phone,medium
T000317,B000317,policy_question,chat,low
T000318,B000318,policy_question,chat,low
T000319,B000319,safety_issue,phone,medium
T000320,B000320,safety_issue,self_serve,medium
T000321,B000321,listing_not_as_described,phone,low
T000322,B000322,refund_request,chat,high
T000323,B000323,policy_question,chat,high
T000324,B000324,policy_question,chat,low
T000325,B000325,checkin_problem,self_serve,high
T000326,B000326,refund_request,email,medium
T000327,B000327,policy_question,email,medium
T000328,B000328,listing_not_as_described,chat,medium
T000329,B000329,host_cancellation,phone,low
T000330,B000330,policy_question,chat,medium
T000331,B000331,safety_issue,email,medium
T000332,B000332,policy_question,self_serve,medium
T000333,B000333,payment_problem,chat,medium
T000334,B000334,checkin_problem,email,high
T000335,B000335,policy_question,email,low
T000336,B000336,checkin_problem,chat,medium
T000337,B000337,policy_question,email,medium
T000338,B000338,safety_issue,email,medium
T000339,B000339,refund_request,chat,medium
T000340,B000340,policy_question,phone,low
T000341,B000341,policy_question,email,medium
T000342,B000342,checkin_problem,chat,low
T000343,B000343,policy_question,email,low
T000344,B000344,host_cancellation,phone,medium
T000345,B000345,payment_problem,email,medium
T000346,B000346,listing_not_as_described,email,low
T000347,B000347,safety_issue,chat,medium
T000348,B000348,listing_not_as_described,chat,low
T000349,B000349,refund_request,chat,low
T000350,B000350,refund_request,phone,medium
T000351,B000351,policy_question,phone,medium
T000352,B000352,refund_request,chat,low
T000353,B000353,host_cancellation,phone,low
T000354,B000354,refund_request,chat,low
T000355,B000355,listing_not_as_described,chat,low
T000356,B000356,policy_question,chat,low
T000357,B000357,host_cancellation,chat,high
T000358,B000358,listing_not_as_described,chat,low
T000359,B000359,policy_question,phone,high
T000360,B000360,listing_not_as_described,email,medium
T000361,B000361,payment_problem,email,low
T000362,B000362,host_cancellation,email,low
T000363,B000363,payment_problem,phone,medium
T000364,B000364,host_cancellation,chat,high
T000365,B000365,policy_question,chat,medium
T000366,B000366,host_cancellation,email,high
T000367,B000367,checkin_problem,phone,medium
T000368,B000368,listing_not_as_described,chat,low
T000369,B000369,refund_request,email,medium
T000370,B000370,policy_question,email,medium
T000371,B000371,payment_problem,chat,low
T000372,B000372,policy_question,phone,low
T000373,B000373,listing_not_as_described,phone,medium
T000374,B000374,policy_question,email,high
T000375,B000375,policy_question,chat,medium
T000376,B000376,payment_problem,email,low
T000377,B000377,host_cancellation,phone,high
T000378,B000378,checkin_problem,chat,low
T000379,B000379,checkin_problem,chat,medium
T000380,B000380,refund_request,phone,medium
T000381,B000381,safety_issue,email,low
T000382,B000382,refund_request,self_serve,low
T000383,B000383,host_cancellation,self_serve,medium
T000384,B000384,payment_problem,email,medium
T000385,B000385,policy_question,chat,low
T000386,B000386,refund_request,phone,medium
T000387,B000387,refund_request,chat,high
T000388,B000388,payment_problem,chat,medium
T000389,B000389,checkin_problem,chat,low
T000390,B000390,payment_problem,self_serve,medium
T000391,B000391,payment_problem,phone,high
T000392,B000392,policy_question,self_serve,medium
T000393,B000393,payment_problem,chat,medium
T000394,B000394,checkin_problem,chat,medium
T000395,B000395,payment_problem,chat,low
T000396,B000396,payment_problem,chat,low
T000397,B000397,listing_not_as_described,chat,low
T000398,B000398,policy_question,chat,low
T000399,B000399,policy_question,phone,low
T000400,B000400,refund_request,chat,low
T000401,B000401,policy_question,chat,medium
T000402,B000402,policy_question,email,high
T000403,B000403,host_cancellation,chat,low
T000404,B000404,host_cancellation,self_serve,medium
T000405,B000405,refund_request,self_serve,low
T000406,B000406,refund_request,chat,high
T000407,B000407,host_cancellation,self_serve,low
T000408,B000408,safety_issue,self_serve,medium
T000409,B000409,checkin_problem,phone,medium
T000410,B000410,payment_problem,phone,medium
T000411,B000411,listing_not_as_described,chat,low
T000412,B000412,safety_issue,chat,low
T000413,B000413,refund_request,chat,low
T000414,B000414,refund_request,phone,low
T000415,B000415,policy_question,phone,high
T000416,B000416,listing_not_as_described,email,high
T000417,B000417,listing_not_as_described,chat,medium
T000418,B000418,checkin_problem,chat,medium
T000419,B000419,checkin_problem,chat,low
T000420,B000420,listing_not_as_described,phone,low
T000421,B000421,host_cancellation,self_serve,low
T000422,B000422,host_cancellation,email,medium
T000423,B000423,listing_not_as_described,self_serve,medium
T000424,B000424,policy_question,email,low
T000425,B000425,policy_question,chat,high
T000426,B000426,safety_issue,chat,low
T000427,B000427,payment_problem,chat,medium
T000428,B000428,policy_question,phone,high
T000429,B000429,refund_request,phone,medium
T000430,B000430,checkin_problem,chat,medium
T000431,B000431,refund_request,chat,low
T000432,B000432,checkin_problem,self_serve,medium
T000433,B000433,host_cancellation,chat,low
T000434,B000434,refund_request,self_serve,medium
T000435,B000435,policy_question,chat,low
T000436,B000436,host_cancellation,phone,medium
T000437,B000437,policy_question,chat,low
T000438,B000438,refund_request,phone,medium
T000439,B000439,policy_question,phone,medium
T000440,B000440,policy_question,phone,medium
T000441,B000441,listing_not_as_described,chat,medium
T000442,B000442,safety_issue,email,medium
T000443,B000443,refund_request,chat,medium
T000444,B000444,safety_issue,phone,medium
T000445,B000445,refund_request,chat,low
T000446,B000446,policy_question,email,low
T000447,B000447,policy_question,email,medium
T000448,B000448,policy_question,phone,medium
T000449,B000449,checkin_problem,chat,high
T000450,B000450,safety_issue,phone,medium
T000451,B000451,policy_question,chat,medium
T000452,B000452,policy_question,email,high
T000453,B000453,host_cancellation,chat,high
T000454,B000454,checkin_problem,self_serve,medium
T000455,B000455,listing_not_as_described,chat,low
T000456,B000456,policy_question,chat,medium
T000457,B000457,policy_question,chat,low
T000458,B000458,policy_question,email,medium
T000459,B000459,checkin_problem,email,low
T000460,B000460,host_cancellation,email,low
T000461,B000461,refund_request,phone,medium
T000462,B000462,policy_question,chat,high
T000463,B000463,checkin_problem,email,low
T000464,B000464,policy_question,email,medium
T000465,B000465,policy_question,chat,medium
T000466,B000466,checkin_problem,email,medium
T000467,B000467,listing_not_as_described,email,low
T000468,B000468,policy_question,phone,medium
T000469,B000469,host_cancellation,chat,low
T000470,B000470,listing_not_as_described,chat,medium
T000471,B000471,policy_question,chat,low
T000472,B000472,listing_not_as_described,chat,high
T000473,B000473,host_cancellation,email,low
T000474,B000474,refund_request,self_serve,low
T000475,B000475,host_cancellation,chat,medium
T000476,B000476,listing_not_as_described,chat,low
T000477,B000477,refund_request,email,high
T000478,B000478,listing_not_as_described,chat,low
T000479,B000479,listing_not_as_described,email,low
T000480,B000480,host_cancellation,email,medium
T000481,B000481,checkin_problem,phone,high
T000482,B000482,host_cancellation,phone,medium
T000483,B000483,policy_question,chat,high
T000484,B000484,payment_problem,email,medium
T000485,B000485,refund_request,email,medium
T000486,B000486,policy_question,chat,low
T000487,B000487,payment_problem,chat,low
T000488,B000488,checkin_problem,phone,medium
T000489,B000489,refund_request,chat,medium
T000490,B000490,checkin_problem,chat,high
T000491,B000491,checkin_problem,chat,high
T000492,B000492,refund_request,chat,medium
T000493,B000493,listing_not_as_described,email,high
T000494,B000494,policy_question,chat,medium
T000495,B000495,listing_not_as_described,chat,low
T000496,B000496,listing_not_as_described,phone,high
T000497,B000497,policy_question,email,medium
T000498,B000498,payment_problem,chat,high
T000499,B000499,checkin_problem,phone,medium
T000500,B000500,policy_question,chat,high
T000501,B000501,host_cancellation,email,medium
T000502,B000502,host_cancellation,phone,low
T000503,B000503,refund_request,phone,low
T000504,B000504,refund_request,chat,medium
T000505,B000505,payment_problem,chat,high
T000506,B000506,refund_request,chat,low
T000507,B000507,listing_not_as_described,chat,medium
T000508,B000508,refund_request,chat,medium
T000509,B000509,payment_problem,chat,low
T000510,B000510,refund_request,email,medium
T000511,B000511,listing_not_as_described,self_serve,medium
T000512,B000512,payment_problem,chat,medium
T000513,B000513,refund_request,chat,low
T000514,B000514,safety_issue,email,low
T000515,B000515,payment_problem,phone,medium
T000516,B000516,listing_not_as_described,email,medium
T000517,B000517,refund_request,email,medium
T000518,B000518,host_cancellation,chat,medium
T000519,B000519,policy_question,email,medium
T000520,B000520,refund_request,email,medium
T000521,B000521,policy_question,email,low
T000522,B000522,refund_request,phone,low
T000523,B000523,host_cancellation,email,high
T000524,B000524,host_cancellation,self_serve,low
T000525,B000525,refund_request,phone,low
T000526,B000526,policy_question,email,medium
T000527,B000527,listing_not_as_described,email,low
T000528,B000528,policy_question,chat,low
T000529,B000529,policy_question,chat,medium
T000530,B000530,payment_problem,chat,medium
T000531,B000531,host_cancellation,self_serve,medium
T000532,B000532,host_cancellation,email,medium
T000533,B000533,host_cancellation,chat,high
T000534,B000534,listing_not_as_described,chat,medium
T000535,B000535,policy_question,phone,medium
T000536,B000536,payment_problem,email,low
T000537,B000537,safety_issue,chat,low
T000538,B000538,policy_question,phone,low
T000539,B000539,checkin_problem,chat,medium
T000540,B000540,listing_not_as_described,chat,medium
T000541,B000541,payment_problem,self_serve,medium
T000542,B000542,listing_not_as_described,email,medium
T000543,B000543,policy_question,chat,low
T000544,B000544,refund_request,chat,low
T000545,B000545,policy_question,chat,medium
T000546,B000546,checkin_problem,chat,low
T000547,B000547,payment_problem,chat,medium
T000548,B000548,refund_request,chat,medium
T000549,B000549,payment_problem,phone,low
T000550,B000550,refund_request,email,low
T000551,B000551,refund_request,email,medium
T000552,B000552,checkin_problem,phone,low
T000553,B000553,payment_problem,chat,low
T000554,B000554,payment_problem,phone,medium
T000555,B000555,payment_problem,phone,low
T000556,B000556,refund_request,email,low
T000557,B000557,listing_not_as_described,chat,low
T000558,B000558,safety_issue,email,low
T000559,B000559,policy_question,email,high
T000560,B000560,host_cancellation,chat,low
T000561,B000561,listing_not_as_described,self_serve,medium
T000562,B000562,refund_request,chat,medium
T000563,B000563,payment_problem,chat,medium
T000564,B000564,host_cancellation,email,low
T000565,B000565,payment_problem,chat,medium
T000566,B000566,policy_question,chat,medium
T000567,B000567,refund_request,chat,medium
T000568,B000568,payment_problem,chat,medium
T000569,B000569,checkin_problem,phone,high
T000570,B000570,safety_issue,email,low
T000571,B000571,refund_request,chat,medium
T000572,B000572,policy_question,chat,low
T000573,B000573,listing_not_as_described,phone,medium
T000574,B000574,host_cancellation,chat,medium
T000575,B000575,listing_not_as_described,email,low
T000576,B000576,host_cancellation,phone,medium
T000577,B000577,payment_problem,phone,high
T000578,B000578,policy_question,chat,low
T000579,B000579,refund_request,email,high
T000580,B000580,host_cancellation,chat,high
T000581,B000581,refund_request,self_serve,medium
T000582,B000582,listing_not_as_described,chat,low
T000583,B000583,refund_request,chat,high
T000584,B000584,policy_question,chat,low
T000585,B000585,policy_question,chat,medium
T000586,B000586,checkin_problem,email,low
T000587,B000587,refund_request,chat,medium
T000588,B000588,refund_request,chat,medium
T000589,B000589,checkin_problem,chat,low
T000590,B000590,checkin_problem,self_serve,high
T000591,B000591,host_cancellation,chat,low
T000592,B000592,policy_question,chat,high
T000593,B000593,payment_problem,chat,high
T000594,B000594,refund_request,chat,low
T000595,B000595,refund_request,self_serve,low
T000596,B000596,checkin_problem,email,low
T000597,B000597,policy_question,chat,medium
T000598,B000598,listing_not_as_described,self_serve,low
T000599,B000599,policy_question,chat,low
T000600,B000600,refund_request,self_serve,medium
T000601,B000601,host_cancellation,chat,medium
T000602,B000602,payment_problem,email,low
T000603,B000603,policy_question,self_serve,medium
T000604,B000604,payment_problem,chat,medium
T000605,B000605,host_cancellation,self_serve,medium
T000606,B000606,refund_request,chat,medium
T000607,B000607,policy_question,self_serve,low
T000608,B000608,host_cancellation,email,low
T000609,B000609,policy_question,chat,high
T000610,B000610,safety_issue,phone,high
T000611,B000611,policy_question,chat,medium
T000612,B000612,host_cancellation,phone,medium
T000613,B000613,host_cancellation,chat,low
T000614,B000614,host_cancellation,chat,medium
T000615,B000615,refund_request,phone,medium
T000616,B000616,host_cancellation,chat,low
T000617,B000617,payment_problem,chat,medium
T000618,B000618,payment_problem,email,low
T000619,B000619,checkin_problem,phone,low
T000620,B000620,payment_problem,email,medium
T000621,B000621,payment_problem,email,medium
T000622,B000622,checkin_problem,phone,medium
T000623,B000623,checkin_problem,chat,high
T000624,B000624,safety_issue,email,medium
T000625,B000625,checkin_problem,chat,medium
T000626,B000626,host_cancellation,chat,low
T000627,B000627,policy_question,chat,medium
T000628,B000628,listing_not_as_described,email,low
T000629,B000629,safety_issue,chat,medium
T000630,B000630,refund_request,chat,low
T000631,B000631,listing_not_as_described,phone,low
T000632,B000632,listing_not_as_described,phone,low
T000633,B000633,refund_request,chat,medium
T000634,B000634,listing_not_as_described,email,low
T000635,B000635,policy_question,chat,low
T000636,B000636,policy_question,chat,low
T000637,B000637,policy_question,chat,medium
T000638,B000638,policy_question,email,medium
T000639,B000639,policy_question,chat,medium
T000640,B000640,listing_not_as_described,email,medium
T000641,B000641,checkin_problem,chat,medium
T000642,B000642,payment_problem,chat,low
T000643,B000643,checkin_problem,email,medium
T000644,B000644,listing_not_as_described,email,low
T000645,B000645,policy_question,email,low
T000646,B000646,refund_request,chat,medium
T000647,B000647,listing_not_as_described,email,medium
T000648,B000648,checkin_problem,chat,low
T000649,B000649,payment_problem,chat,low
T000650,B000650,refund_request,chat,low
T000651,B000651,refund_request,chat,low
T000652,B000652,host_cancellation,chat,medium
T000653,B000653,listing_not_as_described,self_serve,medium
T000654,B000654,listing_not_as_described,chat,high
T000655,B000655,refund_request,phone,medium
T000656,B000656,safety_issue,chat,low
T000657,B000657,refund_request,email,high
T000658,B000658,host_cancellation,email,medium
T000659,B000659,listing_not_as_described,chat,low
T000660,B000660,listing_not_as_described,chat,medium
T000661,B000661,host_cancellation,self_serve,medium
T000662,B000662,refund_request,email,low
T000663,B000663,listing_not_as_described,chat,high
T000664,B000664,safety_issue,email,high
T000665,B000665,policy_question,email,low
T000666,B000666,payment_problem,email,high
T000667,B000667,policy_question,chat,high
T000668,B000668,checkin_problem,chat,medium
T000669,B000669,refund_request,phone,medium
T000670,B000670,safety_issue,chat,medium
T000671,B000671,refund_request,self_serve,low
T000672,B000672,checkin_problem,email,medium
T000673,B000673,policy_question,chat,medium
T000674,B000674,refund_request,chat,medium
T000675,B000675,checkin_problem,chat,low
T000676,B000676,checkin_problem,phone,medium
T000677,B000677,checkin_problem,chat,high
T000678,B000678,payment_problem,email,medium
T000679,B000679,listing_not_as_described,self_serve,medium
T000680,B000680,host_cancellation,chat,medium
T000681,B000681,safety_issue,chat,medium
T000682,B000682,listing_not_as_described,chat,high
T000683,B000683,checkin_problem,chat,medium
T000684,B000684,host_cancellation,phone,high
T000685,B000685,host_cancellation,email,low
T000686,B000686,payment_problem,phone,low
T000687,B000687,host_cancellation,email,medium
T000688,B000688,policy_question,chat,medium
T000689,B000689,refund_request,self_serve,high
T000690,B000690,checkin_problem,chat,medium
T000691,B000691,safety_issue,email,low
T000692,B000692,checkin_problem,chat,medium
T000693,B000693,refund_request,chat,low
T000694,B000694,checkin_problem,self_serve,medium
T000695,B000695,refund_request,chat,low
T000696,B000696,listing_not_as_described,email,medium
T000697,B000697,safety_issue,chat,low
T000698,B000698,listing_not_as_described,chat,medium
T000699,B000699,policy_question,chat,medium
T000700,B000700,host_cancellation,chat,low
T000701,B000701,payment_problem,chat,medium
T000702,B000702,refund_request,phone,medium
T000703,B000703,policy_question,email,low
T000704,B000704,policy_question,email,medium
T000705,B000705,refund_request,email,high
T000706,B000706,payment_problem,phone,medium
T000707,B000707,listing_not_as_described,email,low
