guest_id,guest_account_age_days,guest_past_bookings_count,guest_past_support_tickets_12m,guest_past_refund_requests_12m,guest_lifetime_booking_value,guest_id_verified
G00076,1982,4,1,0,940.71,1
G00077,996,3,0,1,2873.79,1
G00078,2318,0,1,0,2768.06,1
G00079,816,4,2,1,3288.55,1
G00080,456,1,1,0,1046.28,1
G00081,1276,4,0,1,990.62,1
G00082,1017,3,1,0,937.53,1
G00083,2344,5,0,0,1203.58,1
G00084,2768,6,5,0,3513.48,1
G00085,338,6,1,0,3704.35,1
G00086,879,4,1,0,2022.94,1
G00087,1077,4,1,1,6247.43,1
G00088,792,5,0,2,1336.93,1
G00089,2265,1,0,0,1794.87,1
G00090,764,9,3,1,7558.33,1
G00091,2236,7,2,1,1940.47,1
G00092,380,5,5,0,3460.97,1
G00093,493,4,4,1,3004.26,1
G00094,1181,5,0,1,1470.54,0
G00095,2063,4,1,1,7132.79,1
G00096,65,1,0,1,3078.74,1
G00097,2569,3,1,1,2307.07,1
G00098,1368,7,3,0,1077.79,1
G00099,1153,6,2,0,2100.45,1
G00100,2028,10,0,1,3633.83,1
G00101,2696,4,3,0,2053.85,1
G00102,1496,5,1,0,2349.81,0
G00103,1163,6,0,0,2867.63,1
G00104,1523,6,1,0,902.43,1
G00105,2641,8,3,0,1101.99,1
G00106,392,4,3,1,3128.34,1
G00107,1699,3,0,0,1847.73,1
G00108,419,3,1,2,2229.55,1
G00109,2337,9,4,0,2380.61,1
G00110,379,7,1,0,1913.95,0
G00111,1797,2,1,0,5548.64,1
G00112,2279,2,4,0,4040.16,1
G00113,2089,4,1,0,1499.98,1
G00114,2183,6,1,1,1814.66,1
G00115,201,9,4,0,3577.57,0
G00116,1864,11,0,0,3500.8,1
G00117,780,4,3,0,1269.97,1
G00118,2978,7,1,0,1329.44,1
G00119,503,7,1,0,2192.8,0
G00120,2455,3,3,0,4247.7,1
G00121,1752,7,2,0,1491.33,1
G00122,805,5,1,1,3261.6,1
G00123,2147,2,1,1,1590.27,1
G00124,2732,9,2,1,2288.93,1
G00125,1896,6,0,1,3956.28,1
G00126,2774,3,2,0,973.36,1
G00127,1571,6,2,0,2396.06,1
G00128,961,3,2,0,1139.14,1
G00129,2661,2,0,0,5826.31,1
G00130,1486,8,2,1,1940.58,1
G00131,2691,4,2,0,3735.46,1
G00132,1029,5,2,0,919.95,1
G00133,503,4,2,0,4225.27,1
G00134,2815,3,0,1,3472.81,1
G00135,398,4,0,1,4605.96,1
G00136,871,3,1,1,3738.53,1
G00137,2843,11,2,1,1578.25,1
G00138,393,6,1,1,733.53,1
G00139,207,5,0,0,2145.59,1
G00140,1039,5,1,0,1952.98,1
G00141,1882,5,2,0,2415.9,1
G00142,2940,3,0,0,2665.01,1
G00143,1485,6,0,0,4489.97,0
G00144,864,4,1,0,3819.14,1
G00145,2791,5,1,2,4330.74,0
G00146,564,3,2,0,1960.6,1
G00147,1021,7,2,0,3540.08,1
G00148,96,3,1,2,3459.04,1
G00149,1924,6,0,3,4402.94,1
G00150,1758,7,0,2,2143.2,1
G00151,2533,1,1,0,5486.11,1
G00152,2279,6,0,0,5634.4,1
G00153,2797,4,1,1,1216.77,1
G00154,1679,2,1,0,2338.44,1
G00155,541,2,2,1,3107.85,1
G00156,1060,5,0,1,2679.15,1
G00157,2573,5,2,1,1172.54,1
G00158,1184,3,0,1,1270.35,0
G00159,1723,5,0,0,1322.13,1
G00160,1820,11,2,0,1342.17,1
G00161,2626,2,1,0,2477.54,1
G00162,2730,6,1,1,5917.31,1
G00163,2605,5,1,1,1088.74,1
G00164,1598,3,2,0,2091.23,1
G00165,2694,4,1,0,2270.85,0
G00166,796,10,1,0,5179.15,1
G00167,1052,1,2,2,3363.89,1
G00168,1644,8,4,1,2581.25,1
G00169,1364,3,3,0,1241.16,1
G00170,1982,5,0,0,2746.99,1
G00171,1355,4,0,0,3694.03,1
G00172,1664,11,2,1,1068.9,1
G00173,1530,3,7,0,2572.94,1
G00174,2039,4,0,0,3015.54,1
G00175,1497,3,0,0,3290.67,1
G00176,2238,3,0,0,3068.12,0
G00177,1409,8,0,0,4068.95,1
G00178,1401,1,2,1,1030.16,1
G00179,1307,5,2,0,4264.94,1
G00180,2681,7,1,0,944.72,1
G00181,2676,3,1,0,3162.14,1
G00182,973,7,2,1,4210.14,1
G00183,1769,5,1,0,1671.38,1
G00184,1283,7,3,0,1331.43,1
G00185,710,5,0,2,1665.13,1
G00186,1480,7,1,0,1721.49,1
G00187,1435,5,2,0,1928.28,1
G00188,649,4,0,1,3402.43,1
G00189,318,5,2,0,2172.69,1
G00190,1258,11,1,0,2741.27,1
G00191,684,7,0,0,1618.67,1
G00192,664,6,0,0,1494.07,1
G00193,1999,3,1,0,1538.57,1
G00194,1632,0,2,0,2698.89,1
G00195,1496,10,0,0,2956.14,1
G00196,1137,5,2,0,3641.74,1
G00197,1854,5,0,0,3062.28,1
G00198,1521,3,1,0,2387.95,1
G00199,2490,4,0,1,1982.58,1
G00200,564,2,0,0,1093.82,1
G00201,1292,2,0,1,1655.46,1
G00202,1637,7,4,0,864.36,1
G00203,699,3,1,0,2301.45,0
G00204,2161,1,1,0,1458.56,1
G00205,2,3,1,0,1800.14,1
G00206,642,7,0,0,2553.79,1
G00207,2268,5,0,1,1816.79,0
G00208,1590,5,2,0,1473.58,1
G00209,855,4,2,1,1405.86,1
G00210,1760,5,0,1,4093.14,1
G00211,2433,5,1,1,2377.05,0
G00212,1662,3,2,0,2911.06,1
G00213,1154,3,0,0,1327.12,1
G00214,1077,6,3,1,1104.99,1
G00215,1708,6,1,0,636.17,1
G00216,2778,4,0,0,1674.95,1
G00217,1696,9,2,0,5067.66,1
G00218,1734,6,2,2,2797.8,1
G00219,1440,5,0,1,1714.73,1
G00220,2295,5,2,0,3508.09,1
G00221,836,4,0,0,1044.91,1
G00222,203,10,0,1,3814.75,1
G00223,123,6,1,0,4238.76,0
G00224,401,2,0,0,1704.63,1
G00225,767,4,2,0,1838.68,1
G00226,294,3,0,0,2524.56,1
G00227,2328,2,2,1,1085.28,1
G00228,2932,5,1,3,2157.61,1
G00229,198,6,1,0,5893.6,1
G00230,1931,5,1,1,1544.0,1
G00231,2800,10,0,1,2011.77,0
G00232,2192,5,3,0,2065.57,1
G00233,609,5,0,0,3539.13,1
G00234,1148,4,1,0,2699.64,1
G00235,187,4,1,2,3435.85,1
G00236,2512,3,1,0,1668.13,1
G00237,1795,6,4,1,3059.41,1
G00238,660,4,3,1,1076.51,0
G00239,2812,2,1,0,865.02,1
G00240,1956,9,0,1,3704.04,1
G00241,2451,5,0,0,1317.2,1
G00242,1370,9,0,3,705.37,1
G00243,1987,5,1,0,2166.91,1
G00244,1535,5,1,0,2945.78,1
G00245,147,1,2,0,811.56,1
G00246,2912,5,2,1,1860.32,1
G00247,1735,8,0,0,2848.29,1
G00248,1844,6,1,2,2779.71,1
G00249,489,2,1,0,688.23,1
G00250,2977,5,0,1,2431.97,1
G00251,1960,5,2,2,2540.4,1
G00252,1664,4,2,0,2173.66,0
G00253,2599,6,1,0,3847.51,1
G00254,2386,5,1,0,1942.76,1
G00255,2920,6,0,0,2987.38,1
G00256,641,5,2,2,2386.79,1
G00257,1803,4,0,1,2668.22,0
G00258,2521,7,1,1,2283.07,1
G00259,1970,5,2,0,2106.47,1
G00260,2199,7,2,0,4167.48,1
G00261,1439,6,2,0,1569.32,1
G00262,1635,4,0,0,1500.92,1
G00263,263,8,0,1,4031.29,1
G00264,1788,4,2,1,1587.72,1
G00265,2192,3,3,0,779.58,1
G00266,2394,5,1,0,2129.47,1
G00267,624,10,0,1,899.02,0
G00268,1017,6,1,0,354.18,0
G00269,881,4,0,1,2108.37,1
G00270,2050,3,2,1,2849.98,0
G00271,2945,3,1,0,3849.44,1
G00272,1328,5,1,0,3456.34,1
G00273,2302,2,1,2,1029.57,1
G00274,453,6,1,0,1804.6,1
G00275,1184,2,1,0,3079.78,1
G00276,2057,5,1,0,2030.92,1
G00277,1683,2,1,0,1449.19,1
G00278,2864,6,3,0,649.29,1
G00279,2256,3,1,0,2221.28,1
G00280,1155,5,2,0,1015.11,1
G00281,404,2,1,1,2642.27,1
G00282,2200,6,2,0,1593.31,1
G00283,2102,6,2,1,1655.64,1
G00284,1697,7,1,0,3110.85,1
G00285,628,6,0,1,1540.41,1
G00286,587,6,1,0,1378.44,1
G00287,1649,4,2,0,2471.43,1
G00288,1444,4,1,1,1565.28,1
G00289,1446,7,1,0,1976.53,1
G00290,104,5,1,1,4590.16,1
G00291,254,5,2,0,2316.57,1
G00292,2558,8,1,1,1999.47,0
G00293,1497,4,0,0,3487.19,1
G00294,99,2,2,0,577.08,1
G00295,2201,3,0,0,3701.67,1
G00296,1885,4,2,0,560.75,0
G00297,2962,6,2,0,4491.11,0
G00298,1920,9,0,0,946.37,1
G00299,878,3,2,0,2234.03,1
G00300,338,5,2,0,917.46,1
G00301,2870,3,0,0,3295.99,1
G00302,957,2,2,0,3646.5,1
G00303,1705,4,1,0,3531.89,1
G00304,161,9,6,0,1429.65,1
G00305,1604,4,1,0,2688.82,1
G00306,2849,5,2,1,4519.68,1
G00307,398,8,3,0,1971.09,1
G00308,1301,8,0,0,1998.9,1
G00309,816,5,0,0,2845.39,1
G00310,1528,3,2,0,1427.43,1
G00311,1920,9,2,0,1107.31,1
G00312,1416,2,3,0,720.87,1
G00313,1159,8,1,0,2921.93,1
G00314,1219,7,0,1,1688.47,1
G00315,401,6,0,1,2598.72,1
G00316,640,9,1,0,1938.89,1
G00317,2736,3,0,0,3657.36,1
G00318,460,6,2,1,4043.96,1
G00319,955,7,0,0,2268.89,1
G00320,470,7,1,0,4539.52,1
G00321,1046,5,1,1,1419.58,1
G00322,2798,5,0,0,1344.01,1
G00323,1694,1,0,1,2358.02,1
G00324,2086,7,0,0,2701.38,1
G00325,2278,4,0,0,4001.01,1
G00326,563,7,2,1,2097.39,1
G00327,2486,5,1,0,2496.24,1
G00328,1800,5,0,1,7767.14,0
G00329,2075,3,2,1,1258.43,0
G00330,226,5,1,0,1857.7,1
G00331,798,5,0,0,2765.87,1
G00332,2332,4,0,1,5135.68,1
G00333,2927,3,0,0,1689.11,0
G00334,960,3,1,0,876.29,1
G00335,1505,5,2,1,4540.5,1
G00336,453,10,0,0,1593.63,1
G00337,816,2,2,2,1339.02,1
G00338,659,5,0,1,1727.87,1
G00339,547,3,1,0,1410.03,1
G00340,1216,4,2,1,2704.35,1
G00341,17,6,1,2,3271.89,1
G00342,1244,3,0,1,2172.81,1
G00343,2206,4,0,0,1941.15,1
G00344,2525,4,1,2,3585.72,1
G00345,1070,5,0,0,1439.3,1
G00346,2566,8,0,0,1419.24,1
G00347,2147,5,0,0,2202.88,1
G00348,1769,6,3,0,1001.39,1
G00349,1061,3,1,0,909.29,1
G00350,2328,4,0,0,1653.9,0
G00351,2545,5,1,1,1856.57,1
G00352,302,6,1,0,3702.01,1
G00353,181,7,0,1,2011.22,1
G00354,607,5,2,1,1672.75,1
G00355,700,2,0,0,1120.88,1
G00356,993,6,1,0,3420.53,1
G00357,1140,4,0,0,1573.66,1
G00358,191,2,1,0,1352.84,1
G00359,2301,4,2,0,2028.16,1
G00360,981,2,1,0,3547.25,1
G00361,2976,3,2,0,2630.28,1
G00362,2007,4,1,0,2782.23,1
G00363,1185,7,2,3,1525.79,1
G00364,128,5,2,0,3035.91,1
G00365,2066,5,2,0,3180.59,1
G00366,1817,7,2,1,2778.48,1
G00367,1759,9,1,0,3333.88,0
G00368,2614,7,0,0,5339.58,1
G00369,570,6,1,0,4033.49,0
G00370,1347,6,0,0,1297.79,1
G00371,1896,9,0,2,1403.82,0
G00372,2734,2,2,0,3366.24,1
G00373,626,3,0,0,2543.3,1
G00374,2902,9,1,0,4718.83,1
G00375,1687,3,0,1,3828.78,1
G00376,155,8,0,1,1645.98,1
G00377,2538,5,0,0,1043.53,1
G00378,1410,4,1,1,3310.02,1
G00379,785,9,0,0,1531.46,0
G00380,246,2,1,2,1836.43,1
G00381,1501,5,2,1,1537.69,1
G00382,1706,10,1,0,2159.99,1
G00383,2807,5,0,0,3051.08,1
G00384,538,4,4,0,1932.65,1
G00385,1891,7,0,1,2320.03,1
G00386,1842,3,0,0,2024.51,1
G00387,921,6,3,1,3337.27,1
G00388,2456,3,0,0,3740.67,1
G00389,525,3,2,0,3499.15,1
G00390,2876,4,0,1,4590.36,0
G00391,1530,1,1,1,984.85,1
G00392,2951,2,2,1,3800.56,1
G00393,36,4,1,0,1708.77,0
G00394,685,5,0,0,1862.82,1
G00395,20,8,2,0,732.8,1
G00396,2369,7,1,0,2839.71,1
G00397,2560,7,0,0,1050.9,1
G00398,400,2,2,0,2799.1,1
G00399,2702,6,2,1,1247.18,0
G00400,972,8,0,2,2702.38,1
G00401,1907,6,2,0,3772.53,1
G00402,2519,4,1,0,2649.77,1
G00403,1167,4,4,2,1960.36,1
G00404,1116,4,2,0,2278.29,1
G00405,834,1,2,0,989.87,1
G00406,1824,6,0,1,1768.76,1
G00407,2775,8,4,1,2522.86,1
G00408,1983,7,1,0,899.86,1
G00409,854,7,1,2,605.8,1
G00410,51,6,0,0,2986.86,1
G00411,575,6,1,0,1798.12,1
G00412,1149,4,1,1,2389.14,0
G00413,2198,3,0,0,2999.58,1
G00414,2362,6,0,0,2267.98,1
G00415,2618,3,3,0,3107.75,1
G00416,2353,10,2,0,1461.96,1
G00417,1716,5,0,0,2429.01,0
G00418,682,6,3,1,699.27,0
G00419,838,6,0,1,2187.97,1
G00420,1078,4,4,0,1070.04,1
G00421,2492,6,0,0,5235.72,1
G00422,2661,5,0,0,1833.87,1
G00423,2312,3,0,0,1348.36,1
G00424,1596,2,0,2,1890.64,1
G00425,5,3,3,3,1899.65,1
G00426,1127,2,0,1,926.48,1
G00427,1220,8,1,1,3540.49,1
G00428,774,7,0,1,3749.83,1
G00429,877,4,2,1,5209.7,1
G00430,992,3,1,0,3870.56,0
G00431,2932,3,1,0,3501.64,1
G00432,47,6,0,1,2773.6,1
G00433,2915,5,3,0,2638.2,1
G00434,2871,1,5,1,2084.27,1
G00435,2984,8,1,0,2453.72,1
G00436,2704,9,0,0,2534.62,1
G00437,269,4,3,2,2492.26,1
G00438,370,7,0,0,3496.78,1
G00439,636,3,1,0,1363.08,1
G00440,1130,7,2,1,2670.49,1
G00441,1694,5,1,0,1877.22,1
G00442,1683,6,4,0,2874.84,1
G00443,657,8,0,0,4184.31,0
G00444,120,2,1,0,2674.07,1
G00445,831,4,3,0,4435.41,1
G00446,1811,9,0,0,3898.07,1
G00447,1082,4,0,0,3438.1,0
G00448,1975,4,0,0,3236.97,1
G00449,1370,3,0,1,1361.37,1
G00450,741,4,2,1,2494.78,1
G00451,117,4,0,0,3973.76,1
G00452,1854,6,1,0,5457.66,1
G00453,2839,7,0,1,975.18,1
G00454,1151,3,1,0,830.92,1
G00455,1932,6,2,0,1245.28,1
G00456,1013,8,1,0,2180.74,1
G00457,1665,7,1,0,5854.82,1
G00458,1082,3,0,1,2203.88,1
G00459,634,4,0,2,1803.71,1
G00460,513,6,1,0,1160.05,1
G00461,2850,8,2,0,2256.67,1
G00462,1120,3,2,0,6722.48,1
G00463,1142,4,2,0,1424.0,1
G00464,560,3,1,0,1542.89,1
G00465,488,8,0,1,3366.82,0
G00466,897,1,2,1,4130.56,1
G00467,1213,3,1,0,1651.39,1
G00468,704,7,1,0,2342.55,1
G00469,1471,5,1,0,3212.09,1
G00470,581,9,1,0,2324.87,1
G00471,2838,5,2,0,3067.74,1
G00472,2909,4,2,2,3489.2,1
G00473,2295,5,1,2,2166.85,0
G00474,154,7,0,0,1852.88,1
G00475,1680,3,2,1,980.13,1
G00476,997,6,0,1,1063.01,1
G00477,2745,7,2,0,1132.27,1
G00478,1244,4,1,0,3487.3,1
G00479,1093,4,1,1,4392.77,1
G00480,1009,4,1,0,1142.89,1
G00481,2142,3,1,0,3174.5,1
G00482,1774,4,1,0,1114.07,1
G00483,958,2,1,0,705.6,1
G00484,453,7,1,0,5301.17,1
G00485,1228,6,0,0,1216.33,0
G00486,2960,7,0,0,2180.27,1
G00487,2266,5,1,0,643.75,1
G00488,2522,4,1,0,3430.94,1
G00489,2480,5,3,0,1943.86,1
G00490,2389,4,2,0,2354.83,1
G00491,551,7,2,1,2398.36,1
G00492,1636,5,1,0,1229.47,1
G00493,1313,6,1,0,1456.35,1
G00494,1758,5,1,0,1055.61,1
G00495,357,2,0,0,2685.97,1
G00496,2071,4,2,0,2358.61,1
G00497,1786,4,2,1,2191.42,1
G00498,2570,6,1,0,3195.17,1
G00499,1782,11,2,0,2630.97,1
G00500,2850,6,1,1,2036.74,1
G00501,2810,8,0,0,3239.78,0
G00502,2490,5,0,0,1549.62,1
G00503,1632,3,1,0,958.34,0
G00504,2817,5,2,1,1895.07,1
G00505,1016,1,1,0,1522.93,1
G00506,1349,8,2,1,3873.21,1
G00507,516,6,1,0,3151.26,1
G00508,2840,4,3,0,1314.11,1
G00509,336,7,3,0,1191.76,1
G00510,1783,1,2,0,1572.96,0
G00511,2306,7,3,0,2085.0,1
G00512,497,3,1,2,2171.06,1
G00513,896,9,4,1,1561.44,0
G00514,2208,4,1,0,2456.0,1
G00515,852,2,2,0,1450.62,1
G00516,1688,4,1,0,4613.88,1
G00517,1932,6,1,0,1951.5,1
G00518,2738,2,2,0,3270.77,1
G00519,2428,1,0,1,3434.69,1
G00520,1569,7,0,0,2123.93,1
G00521,957,7,0,0,1645.86,1
G00522,2739,6,1,0,960.27,1
G00523,1637,8,1,0,1386.81,1
G00524,1292,7,2,0,1957.87,0
G00525,1441,5,2,0,1375.6,1
G00526,1192,6,1,0,1762.98,1
G00527,1067,6,0,0,4996.09,1
G00528,285,7,1,1,1874.98,1
G00529,2445,6,1,1,2707.65,0
G00530,12,3,0,0,3454.97,1
G00531,1631,3,2,0,4726.74,1
G00532,2547,1,0,0,2820.7,1
G00533,754,5,4,1,361.74,1
G00534,2083,3,0,0,2473.88,1
G00535,2775,9,1,0,1203.69,1
G00536,2897,8,1,0,1554.14,1
G00537,90,4,1,0,2153.26,1
G00538,776,2,1,1,3411.3,1
G00539,2653,3,1,0,2171.98,1
G00540,1626,2,3,1,1294.69,0
G00541,418,4,0,0,3466.96,1
G00542,115,4,1,0,1325.65,1
G00543,617,5,0,0,379.19,1
G00544,826,8,1,0,1567.92,1
G00545,1650,6,0,0,1367.6,1
G00546,1517,3,1,0,2332.04,1
G00547,413,5,0,0,3375.17,1
G00548,729,6,1,1,1321.46,1
G00549,2809,3,1,0,2268.37,1
G00550,676,8,1,1,4140.98,1
G00551,1893,8,1,0,1242.54,1
G00552,2505,5,0,0,2425.49,0
G00553,2968,4,1,1,5881.97,1
G00554,2240,2,3,1,2635.46,1
G00555,2787,6,0,0,2010.36,1
G00556,1123,5,3,2,2900.96,1
G00557,1572,6,2,0,3377.03,1
G00558,978,7,1,1,2369.91,1
G00559,1009,3,0,1,4967.66,1
G00560,2144,9,1,0,1801.13,1
G00561,1688,2,1,0,1501.27,1
G00562,2711,0,1,0,2682.01,1
G00563,37,6,2,0,2010.85,1
G00564,1549,4,1,0,3944.26,1
G00565,2327,6,0,0,3594.8,1
G00566,2265,4,0,0,2514.3,1
G00567,2915,5,0,1,2940.55,1
G00568,873,2,1,0,1774.23,0
G00569,1822,5,0,0,2529.37,1
G00570,1297,4,1,0,601.67,1
G00571,2110,3,2,0,4159.43,1
G00572,596,5,1,0,2703.96,1
G00573,1904,3,1,1,2880.48,1
G00574,729,3,2,1,2153.85,1
G00575,1366,4,0,0,2427.19,1
G00576,397,8,1,0,1994.44,0
G00577,699,5,0,0,2884.37,0
G00578,2225,4,2,0,2115.64,1
G00579,1636,4,0,0,2093.46,0
G00580,396,4,1,0,460.28,1
G00581,2493,4,3,0,2585.24,1
G00582,76,7,1,0,2828.9,1
G00583,265,8,2,0,3182.6,1
G00584,2503,7,2,0,2880.03,0
G00585,1820,3,0,0,629.77,1
G00586,718,6,0,0,2333.43,1
G00587,2783,6,3,0,2156.44,1
G00588,851,4,0,1,1678.62,1
G00589,1391,6,2,0,3614.65,1
G00590,144,9,2,0,2492.93,1
G00591,885,6,2,1,3643.8,1
G00592,396,4,1,0,827.81,1
G00593,2996,6,2,1,1736.48,1
G00594,2939,7,2,0,540.88,1
G00595,1493,4,0,1,4326.56,1
G00596,1168,3,1,1,3683.76,1
G00597,2617,4,1,0,4712.83,1
G00598,1063,5,0,0,3986.0,1
G00599,2157,3,0,1,2344.12,0
G00600,1066,5,2,0,1772.52,1
G00601,1210,3,0,1,2943.38,1
G00602,2983,5,1,0,1822.1,1
G00603,2446,5,1,0,2983.07,1
G00604,634,5,1,1,1840.0,1
G00605,1157,6,1,0,3354.66,1
G00606,1239,6,0,0,1334.19,1
G00607,733,6,1,0,3296.19,1
G00608,235,5,0,0,1119.16,0
G00609,2706,7,2,0,1928.51,1
G00610,751,3,0,0,943.11,1
G00611,2636,5,0,2,2001.97,1
G00612,954,7,0,0,953.59,1
G00613,2540,2,1,0,1658.23,1
G00614,2961,8,1,0,2747.66,1
G00615,1543,4,0,0,1773.23,1
G00616,1198,2,1,0,1596.51,1
G00617,1677,5,1,1,1443.19,1
G00618,1192,5,1,1,1225.98,0
G00619,2218,4,1,0,1184.13,1
G00620,1417,6,2,0,3202.66,1
G00621,2994,8,2,0,3941.8,1
G00622,2843,4,0,1,2199.88,1
G00623,2682,3,2,1,3667.74,1
G00624,1218,6,0,0,4862.22,1
G00625,1541,4,0,0,2017.13,1
G00626,2077,2,1,1,1653.64,1
G00627,1446,3,1,1,1673.94,1
G00628,2387,1,1,0,2786.98,1
G00629,1520,9,1,0,6603.59,1
G00630,1389,5,1,0,866.96,1
G00631,1857,3,1,0,5922.79,1
G00632,1366,4,2,1,1614.87,0
G00633,500,3,0,0,1926.57,1
G00634,1681,4,1,0,3056.25,1
G00635,511,6,1,0,6152.49,1
G00636,217,4,2,0,252.08,1
G00637,1325,2,1,0,1449.75,1
G00638,1156,6,0,1,5128.62,1
G00639,1828,3,1,1,569.87,1
G00640,1811,6,0,0,1128.63,1
G00641,2493,2,2,0,2213.33,1
G00642,2924,8,1,1,1380.93,1
G00643,1206,3,1,0,2256.72,1
G00644,2215,6,2,0,2704.06,0
G00645,91,4,0,1,2114.41,1
G00646,714,5,0,1,3580.38,0
G00647,1882,6,1,0,4189.88,1
G00648,39,1,1,1,4154.03,1
G00649,173,5,1,0,1263.43,1
G00650,653,7,0,0,4105.76,1
G00651,754,6,3,0,6136.56,1
G00652,1244,6,2,2,2770.48,1
G00653,1082,7,2,0,2206.29,0
G00654,1684,4,2,1,2300.76,1
G00655,2524,3,1,0,997.4,1
G00656,456,8,3,0,2967.11,1
G00657,829,4,0,0,1667.41,0
G00658,895,5,3,0,6324.26,1
G00659,1385,5,1,0,3908.37,1
G00660,1959,3,3,0,3150.4,1
G00661,2435,9,0,2,2719.28,1
G00662,1997,8,1,0,560.44,1
G00663,2396,6,1,0,4086.68,1
G00664,190,3,1,2,142.77,1
G00665,505,5,1,0,1673.28,1
G00666,1215,5,2,0,2115.94,1
G00667,1532,5,0,0,2446.58,1
G00668,824,3,1,0,5573.19,0
G00669,929,7,2,1,4420.55,1
G00670,934,3,1,0,659.45,1
G00671,1141,0,1,1,1397.59,1
G00672,134,6,0,1,4792.05,1
G00673,2106,6,0,1,2149.95,1
G00674,685,4,0,1,1081.68,1
G00675,2720,5,4,0,2585.15,1
G00676,2221,9,0,0,2811.17,1
G00677,1853,5,2,0,1064.42,1
G00678,815,4,0,0,3116.15,1
G00679,1173,3,1,1,714.02,0
G00680,80,6,0,0,4665.03,1
G00681,2934,2,0,0,3486.56,1
G00682,203,6,1,1,3688.11,1
G00683,2812,6,2,1,2259.14,1
G00684,1253,6,3,0,4302.06,1
G00685,1700,5,2,0,2770.24,1
G00686,1251,3,0,1,4318.41,0
G00687,1683,4,1,1,2430.33,1
G00688,1556,4,1,0,4455.79,1
G00689,2095,5,0,1,1554.84,1
G00690,1257,4,0,0,1367.08,1
G00691,1550,4,1,1,2662.29,1
G00692,1167,5,0,0,1684.71,1
G00693,1397,5,0,0,2348.35,0
G00694,2704,5,2,2,654.29,1
G00695,471,7,0,0,3152.27,1
G00696,1036,3,1,0,4211.02,1
G00697,1354,2,0,1,1657.08,1
G00698,2784,4,1,1,2890.1,1
G00699,2832,4,1,0,3493.53,1
G00700,968,6,0,0,3845.74,1
G00701,358,3,0,0,1781.9,1
G00702,668,5,2,1,946.66,1
G00703,373,5,2,0,2543.44,1
G00704,1032,5,1,0,3302.52,1
G00705,1146,5,0,1,1268.0,1
G00706,1372,3,0,0,3972.83,1
